photo_num|principal_lat|principal_long|camera_tilt|camera_azimuth|alt_km|lens_mm|sun_elevation|activity_name|description
20280||||||60|28|EVA 2|LRV TRAVERSE, SPL 5110, 15, SEIS CHRG
20281||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20282||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20283||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20284||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20285||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20286||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20287||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20288||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20289||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20290||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20291||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20292||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20293||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20294||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20295||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20296||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20297||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20298||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20299||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20300||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, LRV
20301||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20302||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20303||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20304||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20305||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20306||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20307||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20308||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20309||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20310||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20311||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20312||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20313||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20314||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20315||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20316||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, SPL 5120
20317||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5, SPL 5120
20318||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20319||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5'
20320||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20321||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20322||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20323||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20324||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20325||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20326||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20327||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20328||||||60|28|EVA 2|STA 5, SPL 5015. 5035
20329||||||60|28|EVA 2|STA 5, SPL 5015, 5035
20330||||||60|28|EVA 2|STA 5, SPL 5055
20331||||||60|28|EVA 2|STA 5, SPL 5055
20332||||||60|28|EVA 2|STA 5, SPL 5055
20333||||||60|28|EVA 2|STA 5, SPL 5055
20334||||||60|28|EVA 2|STA 5, SPL 5055
20335||||||60|28|EVA 2|STA 5, SPL 5055, TONGS, CDR
20336||||||60|28|EVA 2|STA 5, SPL 5055, LRV
20337||||||60|28|EVA 2|STA 5, SPL 5060, 5075
20338||||||60|28|EVA 2|STA 5, SPL 5060, 5075, LRV
20339||||||60|28|EVA 2|STA 5, PAN
20340||||||60|28|EVA 2|STA 5, PAN
20341||||||60|28|EVA 2|STA 5, PAN, LRV
20342||||||60|28|EVA 2|STA 5, PAN, LRV
20343||||||60|28|EVA 2|STA 5, PAN, LRV
20344||||||60|28|EVA 2|STA 5, PAN
29345||||||60|28|EVA 2|STA 5, PAN
20346||||||60|28|EVA 2|STA 5, PAN
20347||||||60|28|EVA 2|STA 5, PAN
20348||||||60|28|EVA 2|STA 5, PAN
20349||||||60|28|EVA 2|STA 5, PAN
20350||||||60|28|EVA 2|STA 5, PAN
20351||||||60|28|EVA 2|STA 5, PAN
20352||||||60|28|EVA 2|STA 5, PAN
20353||||||60|28|EVA 2|STA 5, PAN
20354||||||60|28|EVA 2|STA 5, PAN
20355||||||60|28|EVA 2|STA 5, PAN
20356||||||60|28|EVA 2|STA 5, PAN
20357||||||60|28|EVA 2|STA 5, PAN, SCOOP
20358||||||60|28|EVA 2|STA 5, PAN, SCOOP
20359||||||60|28|EVA 2|STA 5, PAN
20360||||||60|28|EVA 2|STA 5, PAN
20361||||||60|28|EVA 2|STA 5, PAN
20362||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20363||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20364||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20365||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20366||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20367||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20368||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20369||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20370||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20371||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20372||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20373||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20374||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20375||||||60|28|EVA 2|LRV TRAVERSE, STA 5 TO STA LM
20376||||||60|16|EVA 1|STA LM, LRV FLOOR
20377||||||60|16|EVA 1|STA LM, LM, LRV, FLAG, CDR
20378||||||60|16|EVA 1|STA LM, LM, LRV, FLAG, CDR
20379||||||60|16|EVA 1|STA LM, LM, LRV, FLAG, CDR
20380||||||60|16|EVA 1|STA LM, LM, LRV, FLAG, CDR
20381||||||60|16|EVA 1|STA LM, LM, LRV, FLAG, LMP
20382||||||60|16|EVA 1|STA LM, LM, LRV, FLAG, LMP
20383||||||60|16|EVA 1|STA LM, FLAG, CDR, EARTH
20384||||||60|16|EVA 1|STA LM, FLAG, LMP, EARTH
20385||||||60|16|EVA 1|STA LM, FLAG, CDR, SOUTH MASSIF
20386||||||60|16|EVA 1|STA LM, FLAG, CDR, LRV
20387||||||60|16|EVA 1|STA LM, FLAG, CDR, EARTH
20388||||||60|16|EVA 1|STA LM, LM FOOT PAD
20389||||||60|16|EVA 1|STA LM, FRONT OF LRV
20390||||||60|16|EVA 1|LRV TRAVERSE, STA SEP TO STA 1
20391||||||60|16|EVA 1|LRV TRAVERSE, STA SEP TO STA 1
20392||||||60|16|EVA 1|LRV TRAVERSE, STA SEP TO STA 1
20393||||||60|16|EVA 1|LRV TRAVERSE, STA SEP TO STA 1
20394||||||60|16|EVA 1|STA 1, SPL 1030, 35-37, 1040, 1055, 1060
20395||||||60|16|EVA 1|STA 1, SPL 1030, 35-37, 1040, 1055, 1060
20396||||||60|16|EVA 1|STA 1, SPL 1030, 35-37, 1040, 1055, 1060
20397||||||60|16|EVA 1|STA 1, SPL 1135-36, 1155-56, 1175
20398||||||60|16|EVA 1|STA 1, SPL 1135-36, 1155-56, 1175
20399||||||60|16|EVA 1|STA 1, SPL 1135-36, 1155-56, 1175
20400||||||60|16|EVA 1|STA 1, SPL 1135-36, 1155-56, 1175, LRV, LMP
20401||||||60|16|EVA 1|STA 1, SPL 1135-36, 1155-56, 1175
20402||||||60|16|EVA 1|STA 1, SPL 1135-36, 1155-56, 1175
20403||||||60|16|EVA 1|STA 1, SPL 1135-36, 1155-56, 1175
20404||||||60|16|EVA 1|STA 1, SPL 1135-36, 1155-56, 1175
20405||||||60|16|EVA 1|STA 1, SPL 1500, 1535-606
20406||||||60|16|EVA 1|STA 1, SPL 1500, 1535-606
20407||||||60|16|EVA 1|STA 1, SPL 1500, 1535-606
20408||||||60|16|EVA 1|STA 1, PAN
20409||||||60|16|EVA 1|STA 1,PAN, LRV TRACKS
20410||||||60|16|EVA 1|STA 1,PAN, LRV TRACKS
20411||||||60|16|EVA 1|STA 1,PAN, LRV TRACKS
20412||||||60|16|EVA 1|STA 1,PAN, LRV TRACKS
20413||||||60|16|EVA 1|STA 1,PAN, LRV TRACKS
20414||||||60|16|EVA 1|STA 1,PAN, LRV TRACKS
20415||||||60|16|EVA 1|STA 1,PAN, LRV TRACKS
20416||||||60|16|EVA 1|STA 1,PAN, LRV TRACKS
20417||||||60|16|EVA 1|STA 1,PAN, LRV TRACKS
20418||||||60|16|EVA 1|STA 1,PAN, LRV TRACKS
20419||||||60|16|EVA 1|STA 1,PAN, LRV TRACKS
20420||||||60|16|EVA 1|STA 1, PAN, LRV
20421||||||60|16|EVA 1|STA 1, PAN, LRV
20422||||||60|16|EVA 1|STA 1, PAN, LRV, SEIS CHRG 6
20423||||||60|16|EVA 1|STA 1, PAN, LRV, SEIS CHRG 6
20424||||||60|16|EVA 1|STA 1, PAN, LMP, SEIS CHRG 6
20425||||||60|16|EVA 1|STA 1, PAM, SPL 1500, 1535-606
20426||||||60|16|EVA 1|STA 1, PAN, SPL 1500, 1535-606
20427||||||60|16|EVA 1|STA 1, PAN, SPL 1500, 1535-606
20428||||||60|16|EVA 1|STA 1, PAN
20429||||||60|16|EVA 1|STA 1, PAN
20430||||||60|16|EVA 1|STA 1, PAN
20431||||||60|16|EVA 1|STA 1, PAN
20432||||||60|16|EVA 1|STA 1, SPL 1500, 1535-606
20433||||||60|17|EVA 1|LRV TRAVERSE, STA 1 TO STA SEP
20434||||||60|17|EVA 1|LRV TRAVERSE, STA 1 TO STA SEP
20435||||||60|17|EVA 1|STA SEP, PAR PAN, LRV, SURF ELEC PROP
20436||||||60|17|EVA 1|STA SEP, PAR PAN, LRV
20437||||||60|17|EVA 1|STA SEP, PAR PAN
20438||||||60|17|EVA 1|STA SEP, PAR PAN, SURF ELEC PROP
20439||||||60|17|EVA 1|STA SEP, PAR PAN, SURF ELEC PROP
20440||||||60|17|EVA 1|STA SEP, PAR PAN, SURF ELEC PROP
20441||||||60|17|EVA 1|STA SEP, PAR Pay, LM
20442||||||60|17|EVA 1|STA SEP, PAR PAN, LM
20443||||||60|17|EVA 1|STA SEP, PAR PAN, LRV
20444||||||60|17|EVA 1|STA SEP, PAR PAN, LRV
20445||||||60|17|EVA 1|STA SEP, PAR PAN, LRV
20446||||||60|17|EVA 1|STA SEP, PAR PAN
20447||||||60|17|EVA 1|LRV TRAVERSE, STA SEP TO STA LM, LM
20448||||||60|17|EVA 1|LRV TRAVERSE, STA SEP TO STA LM, LM
20449|||||||||BLANK
20450|||||||||BLANK
20451|||||||||BLANK
20452||||||60|38|EVA 3|STA 9, LRV
27453||||||60|38|EVA 3|STA 9, LRV
20454||||||60|38|EVA 3|STA 9, LRV
20455||||||60|38|EVA 3|LRV TRAVERSE. STA 9-LM, SPL 0315, 0320
20456||||||60|38|EVA 3|LRV TRAVERSE, STA 9 TO STA LM
20457||||||60|38|EVA 3|LRV TRAV, STA 9 TO LM, LM, SURF ELEC PROP
20458||||||60|38|EVA 3|LRV TRAVERSE, STA 9 TO STA LM, LM
20459||||||60|38|EVA 3|LRV TRAVERSE, STA 9 TO STA LM, LM
20460||||||60|38|EVA 3|LRV TRAVERSE, STA 9 TO STA LM, LM
20461||||||60|38|EVA 3|STA LM, LM, EARTH
20462||||||60|38|EVA 3|STA LM, LM, LRV
20463||||||60|38|EVA 3|STA LM, LM. EARTH
20464||||||60|38|EVA 3|STA LM, EARTH
20465||||||60|38|EVA 3|STA LM, EARTH, FLAG
20466||||||60|38|EVA 3|STA LM, FLAG
20467||||||60|38|EVA 3|STA LM, LM, LRV, FLAG
20468||||||60|38|EVA 3|STALM, LM, QUAD 2
20469||||||60|38|EVA 3|STALM, LM, QUAD 2
20470||||||60|38|EVA 3|STA LM, LMP, LRV, EARTH
20471||||||60|38|EVA 3|STA LM, LMP, LRV, EARTH
20472||||||60|38|EVA 3|STA LM, CDR, LRY
20473||||||60|38|EVA 3|STA LM, CDR, LRV, EARTH
20474||||||60|38|EVA 3|STA LM, CDR, LRV
20475||||||60|38|EVA 3|STA LM, CDR, LRV
20476||||||60|38|EVA 3|STA LM, CDR, LRV
20477||||||60|38|EVA 3|STA LM, CDR, LRV
20478||||||60|38|EVA 3|STA LM, CDR, LRV
20479||||||60|38|EVA 3|STA LM, CDR, LRV
20480||||||60|38|EVA 3|STA LM, LM
20481||||||60|38|EVA 3|STA LM, LM
20482||||||60|38|EVA 3|STA LA, LM
20483||||||60|38|EVA 3|STA LM, LM
20484||||||60|38|EVA 3|STA LM, LM
20485||||||60|38|EVA 3|STA LM, LM
20486||||||60|38|EVA 3|STA LM, LM
20487||||||60|38|EVA 3|STA LM, LM
20488||||||60|38|EVA 3|STA LM, LM
20489||||||60|38|EVA 3|STA ALSEP, CENTRAL STATION
20490||||||60|38|EVA 3|STA ALSEP, CENTRAL STATION
20491||||||60|38|EVA 3|STA ALSEP, CENTRAL STATION
20492||||||60|38|EVA 3|STA ALSEP, HEAT FLOW PROBE
20493||||||60|38|EVA 3|STA ALSEP, HEAT FLOW PROBE
20494||||||60|38|EVA 3|STA ALSEP, HEAT FLOW PROBE
20495||||||60|38|EVA 3|STA ALSEP, HEAT FLOW PROBE
20496||||||60|38|EVA 3|STA ALSEP, HEAT FLOW PROBE
20497||||||60|38|EVA 3|STA ALSEP, HEAT FLOW PROBE
20498||||||60|38|EVA 3|STA ALSEP, LUNAR MASS SPECTROMETER
20499||||||60|38|EVA 3|STA ALSEP, LUNAR MASS SPECTROMETER
20500||||||60|38|EVA 3|STA ALSEP, EJECTA-METEORITE DETECTOR
20501||||||60|38|EVA 3|STA ALSEP, LUNAR SURFACE GRAVIMETER
20502||||||60|38|EVA 3|STA ALSEP, LUNAR SURFACE GRAVIMETER
20503||||||60|38|EVA 3|STA ALSEP, DRILL CORE EXTRACTOR, SPL0175
20504||||||60|38|EVA 3|STA ALSEP, DRILL CORE EXTRACTOR, SPL0175
20505||||||60|38|EVA 3|STA ALSEP, DRILL CORE EXTRACTOR, SPL0175
20506||||||60|38|EVA 3|STA LM, LM, FLAG, LRV
20507||||||60|38|EVA 3|STA LM, LM, FLAG, LRV
20508||||||60|38|EVA 3|STA LM, LM, FLAG
20509||||||60|38|EVA 3|STA LM, LM, FLAG
20510||||||60|38|EVA 3|STA LM, LM, FLAG
20511||||||60|38|EVA 3|STA LM, LM, FLAG
20512||||||60|38|EVA 3|STA LM, LM, FLAG
20513||||||60|38|EVA 3|STA LM, LM, FLAG
20514||||||60||POST EVA 3|LM INTERIOR, CERNAN
20515||||||60||POST EVA 3|LM INTERIOR, CERNAN
27516||||||60||POST EVA 3|LM INTERIOR, CERNAN
20517||||||60||POST EVA 3|LM INTERIOR, CERNAN
20518||||||60||POST EVA 3|LM INTERIOR, CERNAN
20519||||||60||POST EVA 3|LM INTERIOR, CERNAN
20520||||||60||POST EVA 3|LM INTERIOR, CERNAN
20521||||||60||POST EVA 3|LM INTERIOR, CERNAN
20522||||||60||POST EVA 3|LM INTERIOR, CERNAN
20523||||||60||POST EVA 3|LM INTERIOR, EVA SUITS
20524||||||60||POST EVA 3|LM INTERIOR, EVA SUITS
20525||||||60||POST EVA 3|LM INTERIOR, EVA SUITS
20526||||||60||POST EVA 3|LM INTERIOR, EVA SUITS
20527||||||60||POST EVA 3|LM INTERIOR, SCHMITT
20528||||||60||POST EVA 3|LM INTERIOR, SCHMITT
20529||||||60||POST EVA 3|LM INTERIOR, SCHMITT
20530||||||60||POST EVA 3|LM INTERIOR, SCHMITT
20531||||||60||POST EVA 3|LM INTERIOR, SCHMITT
20532||||||60||POST EVA 3|LM INTERIOR, SCHMITT
20533||||||60|25|EVA 2|STA SEP, SPL 0255
20534||||||60|25|EVA 2|STA SEP, SPL 0255
20535||||||60|25|EVA 2|STA SEP, SPL 0255
20536||||||60|25|EVA 2|STA SEP, SPL 0255
20537||||||60|25|EVA 2|STA SEP, SPL 0255
20538||||||60|25|EVA 2|STA SEP, SPL 0255
20539||||||60|25|EVA 2|STA SEP, SPL 0275
20540||||||60|25|EVA 2|STA SEP, SPL 0275
20541||||||60|25|EVA 2|STA SEP, SPL 0275
20542||||||60|25|EVA 2|STA SEP, LRV
20543||||||60|25|EVA 2|STA SEP, LRV
20544||||||60|25|EVA 2|STA SEP, LRV, CDR
20545||||||60|25|EVA 2|STA SEP, LRV, CDR, SURF ELEC PROP
20546||||||60|25|EVA 2|STA SEP, LRV, CDR, SURF ELEC PROP
20547||||||60|25|EVA 2|STA SEP, LRV, CDR
20548||||||60|25|EVA 2|STA SEP, LRV, CDR, SURF ELEC PROP
20549||||||60|25|EVA 2|STA SEP, LRV, SURF ELEC PROP
20550||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2, LM
20551||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20552||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20553||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20554||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20555||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20556||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20557||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20558||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20559||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20560||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20561||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20562||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20563||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20564||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20565||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20566||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20567||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20568||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20569||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20570||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20571||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20572||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20573||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20574||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20575||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20576||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20577||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20578||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20579||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20580||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20581||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20582||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20583||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20584||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20585||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20586||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20587||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20588||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20589||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20590||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20591||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20592||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20593||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20594||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20595||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20596||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20597||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20598||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20599||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20600||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
20601||||||60|25|EVA 2|LRV TRAVERSE, STA SEP TO STA 2
