Tape 91A/16|||
|CC|Anything at all, Ron, while we've got an open area, anything you want to say - we're following you on the map - just sing out.|
|CMP|Okay.|
|CC|Ron, while you're thinking here a second, do you have any views on the possible origin of the domes in Aitken?|
|CMP|Well, I'm pretty sure they've got to be volcanic in origin. That's what - that's what it looks like to me anyhow. And especially if I can determine that the material in the northeast corner of Aitken has flown out of that domical little structure in there.|
|CC|Roger. Understand.|
05 17 42 51 »•|CMP|You know something - the observation that I think is pretty significant is the fact that most of the 30-kilometer craters on the back side of the Moon seem to be fairly fresh. And any of them that are fresh - by fresh I mean you don't have any real definite ray pattern to them, but you've got a real smooth - not smooth but streaked straight - slope, 45-degree angle going down into the crater and the crater wall. And then you get down to the bottom of the crater, and you got a flat floor down there or sometimes there is a domical type of a floor. And the domical material down there doesn't resemble anything like the stuff that's slumped down the side.|
|||
||Tape 91B/9|
|CC|Okay, we copy. Ron, if you're handy, you might hit Error RESET on the DSKY. It looks like you might have hit a MARK button or something.|
|CMP|... Yes, might have hit the MARK button.|
|CC|That - that makes it.|
|CMP|Okay. I just got used to the other attitude, and now I'm at a different attitude. (Laughter) ... attitude, though.|
|CC|Roger. Understand. Roger. Are you able to pick anything up on the Crisium yet?|
05 17 44 37|CMP|No, just now coming up on Crisium. I just now see it out of window 5» Just off the southern edge. Let me try window 3; I think it might be better.|
|CC|Okay; you might remember we're looking for the colored tones , the shades between units up on Crisium, and we're looking for location of color boundaries relative to the mare ridge system.|
05 17 45 10|CMP|Okay, I'm looking at the eastern edge of Crisium now. As you come across there, it looks there might be - a little bit darker - You know, I keep seeing browns all the time up here instead of grays - gray tones. Maybe that's just the way I interpret them. They are - to me kind of a brownish tint to them, and it's a darker brown than the - the stuff to the - to the south of the ridge system there.|
|CC|Roger. Ron, our data would show that CM5 might be a better window.|
|CMP|Take a look at that one. Yes, it's a little better. Looking straight down. I am just now passing that crater I took a picture of on the last time - of the pass on there. And instead of having a round bottom, it's got a diamond-shape fill in the bottom. And the diamond, Itself, is about - oh, a half of the crater diameter. And this is on the south rim of Crisium.|
|||
Tape 91B/10|||
|CC|Okay. We copy. Does the ridge system cross the color boundary, Ron, in Crisium?|
05 17 46 52|CMP|Well, this ridge system is running east and west down here. The color boundary isn't nearly as apparent in Crisium as it is in Serenitatis. Except that right under me right now there's kind of a subdued crater-type thing and with a southern part of a ridge. The ridge runs east - west, and it looks like we've got a flow coming out of it. Let me see if I can get a quick picture of that one. Well, lost my camera (laughter). Here it is. Oh, it's too late; it's gone now. You know something, you see this subsolar point, it's kind of -zero phase - zero phase point, I mean, is following me right along out here in Crisium, so I get a different color straight out from the window than I do out from the edge of it. So I think that's going to influence my thinking.|
|CC|Roger, Ron. How does color of Picard - the rim deposits on Picard compare to the surrounding mare material there?|
05 17 48 35|CMP|Okay. The color on Picard is - is definitely darker. It's got a darker rim, darker material that goes out to - oh about a half a crater and some points extending out to a crater diameter. And then from south arcing around to the west to -to the northwest corner, you got some light-colored material on top of that.|
|CC|Is any of that tan or brown?|
|CMP|It's kind of a - the darker material I'd call tannish-gray. More gray than tan. In other words, the whole mare, itself, I'd consider kind of a - kind of a light tan. And then the type of material, the dark material that's flowing out -has flown out - is kind of a tannish-gray.|
|CC|Okay. In the inner appearances of Picard, for color variations, can you determine different units based on color and flow characteristics?|
|||
||Tape 91B/11|
05 17 49 42|CMP|Yes, you can. In the area where you have the white thrown out on top, you essentially got a -as - as you go down the crater wall, you've got a white streak that goes all the way around it, and then you've got a dark layer underneath that. And then a white layer on below that.|
|CC|Roger. Are you saying the color zones are concentric?|
|CMP|Yes, the color zones are concentric going around.|
|CC|Beautiful. How about the central peak material to that of the crater walls?|
05 17 50 30|CMP|Well, the central peak material is - you know, it's more smooth-type stuff. This stuff in the crater walls is - fine, straight sloping, except where it is slumped down. Where it's slumped down, it's just kind of piled up - a jumble of -type stuff, you know?|
|CC|Roger.|
|CMP|You know, in the crater nearest over there has the same color distinction around it for - out for about a crater diameter, except it doesn't have any of the light material on it at all.|
|CC|Okay, Ron, we might direct your attention to the dark halo craters in the western Mare Crisium. Are they impact or volcanic in origin?|
|CMP|You can see some of the rays from the crater Proclus have spread out all the way across here. And they completely cover up the ridge system that goes around there, so I can't see any color distinction on the eastern - or on the western edge of Crisium.|
|CC|Roger. We copy. How about those dark halo craters? Are they volcanic in origin?|
|||
Tape 91B/12|||
05 17 51 40|CMP|Some of the - Yes, I was looking at the volcanic -or the dark-rimmed craters, and some of them have what I'd call a - an ejecta pattern around them; and the others just have kind of a raised rim with no apparent blocks. The one to the west - let's see, southwest - of that little V that sticks out there by Yerkes - that hill that sticks out there by Yerkes - now, that's the one that, to me, looks like it has an ejecta pattern around it with blocks It's about a - oh, a thousand-meter crater.|
|CC|Roger. Got it. Oh that crater that you mentioned was a flow pattern, will you be sure and make a mark on your map on that, please? We're really interested in that.|
|CMP|Okay.|
|CC|Should be coming up on Macrobius by now, aren't you?|
05 17 53 07|CMP|Yes, I can just barely see Macrobius. And - ... be better out of window 3.|
|CC|Okay. We're standing by.|
|CMP|I'm looking for any dark-halo craters in - I was looking for any dark-halo .craters in this area that might be sticking through the Proclus rays. Well, you know, you compare on either side of the Proclus ray, though, and the same size crater rather ... Tranquilitatis or the - the moundy stuff before you get to Tranquilitatis are really underneath Coper - the - the Proclus ray. You get the same albedo of ray material from the small craters in either case.|
|CC|Roger. We understand.|
05 17 54 12|CMP|Oh, here's a Macrobius A and B. Course, J-3 is up there. The two dark craters - well, the one just - north, I guess, of Macrobius A, and also north of J-3 - that's the one that has the dark mound around it. It's got a small dome down in the center. It - it doesn't have any ejecta pattern around it - you know, no rays, no nothing. To me, that looks like - it sure looks like a|
|||
||Tape 9IB/13|
||cinder cone to me. You get that same type of feeling. The dark halo that goes around it goes out for at least a crater and a half diameter. The raised dome down in the center of the crater is about a fourth of a crater diameter. And there are no rays. And it has a dark halo.|
|CC|See any color tones on that crater at all, Ron?|
05 17 56 05|CMP|Yes, the color on that particular - color of that is the same color as you see in Maraldi and as you see in the landing site. And that is what I consider the dark tannish - tannish gray.|
||END OF TAPE|
|||
||Tape 92A/1|
|APOLLO|17 AIR-TO-GROUND VOICE TRANSCRIPTION|
05 16 40 09|CDR-LM|Okay, Gordy. Jack's coming up, and I'm going off the air.|
|LMP-LM|Okay, Gordy. LMP is suited, and - stand by. 24128. PRD is 24128.|
|LMP-LM|Hello, Houston. Did you copy the LMP?|
|CC|Roger. Copy. 24128.|
|CC|How come you guys ... not flight directing like I am?|
05 16 41 23|CDR-LM|And, Bob, 17040 is Commander.|
|CC|Sa.y that again please, Geno.|
|CDR-LM|The last two digits are 40.|
|CC|Copy that.|
|CDR-LM|17040 --|
|CC|Thank you. Thank you.|
05 16 51 40|LMP-LM|Bob, how do you read the BIOMED on the LMP?|
|CC|Stand by, Jack. It looks beautiful, Jack. I think that means loud and clear.|
|CC|And, Challenger, have you changed your ECS LiOH can?|
|LMP-LM|Bob, we did not. I guess we missed that in the checklist.|
|CC|Okay. That's sort of towards the end of 3-9-|
|LMP-LM|Bob, I guess we're not quite there yet.|
|CC|Okay . Copy that.|
05 16 59 l4|CDR-LM|Okay, Bob. The canister's changed.|
|CC|Roger. We saw that. Thank you.|
|||
Tape 92A/2|||
05 17 00 24|LMP-LM|Okay. BIOMED, LEFT.|
|CC|Okay. Copy that.|
|CDR-LM|Bob, how do you read me?|
|CC|Loud and clear, Geno.|
|CDR-LM|Okay.|
|LMP-LM|Bat - battery management going.|
|CC|Roger.|
05 17 00 44|LMP-LM|37-2, both batteries.|
|CC|Okay, Jack. Just like always.|
05 17 00 52|LMP-LM|P - PCM is HIGH.|
|CDR-LM|Is he ready for the batteries?|
|CC|Stand by. We're still picking up ... HIGH BIT RATE.|
05 17 01 40|CC|Okay. And, Geno, we have good data from you on the Surgeon. And we have HIGH BIT RATE.|
|CDR-LM|Well, that's good to hear. I got good data up here.|
05 17 02 15|CC|Yes, we're GO to do the battery management now, Jack. Pick up the HIGH BIT RATE.|
|LMP-LM|Roger.|
|CC|And a thought for the day. We're not sure if there is going to be any need for the scissors outside today. And if you guys wanted to keep from picking them up off the ground and worrying about them, you might just leave them inside if you haven't packed them already.|
|CDR-LM|Bob, you never know. We're going to take them out with us. So just make a note that we bring them back In, would you?|
|CC|Okay. I'll make a little note again.|
|||
||Tape 92A/3|
|LMP-LM|Okay. Battery's complete, and your cue on the LOW BIT RATE.|
05 17 03 02|CC|Okay. You can go LOW BIT RATE again. We've looked at the ... too.|
05 17 04 48|LMP-LM|LMP is 6 - 6l00 on the OPS.|
|CC|Copy that, Jack.|
05 17 05 00|CDR-LM|And about 5850 on CDR.|
|CC|Okay. Copy that, Geno.|
|CC|And you guys got the word about which purge valves to use?|
|LMP-LM|That's affirm.|
05 17 05 45|CDR-LM|CDR's OPS is GO.|
05 17 05 48|LMP-LM|LMP - LMP is GO.|
|CC|Okay. Copy that. Good.|
05 17 12 40|LMP-LM|Okay. Bob, the forward hatch is unlocked.|
|CC|Okay. Copy that.|
05 17 17 47|LMP-LM|Bob, the LMP has his OPS on. Would you believe the PLSS?|
|CC|Say again there, Jack.|
|LMP-LM|The LMP's PLSS is on.|
|CC|Okay. Good enough. And I bet the CDR’s doing his now.|
|LMP-LM|You're right.|
05 17 24 23|CDR-LM|Okay, Bob. We’re in the top of the right-hand column.|
|CC|Okay. Copy that.|
|||
Tape 92A/4|||
05 17 26 19|CDR-LM|MAX. Okay. I'm in VOX. Okay. Going to T/R. B is RECEIVE. A, T/R; B, RECEIVE. Bob, how do you read commander on VOX?|
|CC|Loud and clear, Geno.|
|CDR-LM|Okay, Ja.ck, Won't be able to hear you.|
05 17 26 51|LMP-LM|And l6, SE AUDIO, OPEN. Okay. Connect your PLSS comm. And when you get done with that, we'll go right into the comm.|
|CDR-LM|Yes, zap me.|
05 17 27 36|CDR-LM|Okay. You audio closed? Okay. Your PLSS PTT to main, right, verify? PLSS mode A?|
|LMP-LM|Okay.|
|CDR-LM|Okay. You'll get a tone, a vent flag, a press flag, and an O^ flag.|
|LMP-LM|Press flag, tone, vent flag.|
|CDR-LM|Okay. Give Houston a call, and give them your -your oxygen reading.|
05 17 27 59|LMP-LM|Okay, Houston. This is the LMP with 93 percent, 93 percent.|
|CC|Okay, Jack. We read you loud and garbled just like last night when the antenna was stowed.|
05 17 28 08|LMP-LM|Okay. And 93 percent.|
|CC|Copy the 93 percent.|
|CDR-LM|Okay, Houston. You got 93? Okay. He got that, Jack. Okay. We'll leave the antenna in. Okay. On mine, I'm going to OPEN my AUDIO, and connect to the comm, Jack.|
|LMP-LM|Okay.|
05 17 29 28|LMP-LM|Okay, Houston. ... on ECS. Cabin pressure may be high. I picked out a little pumping in the ECS system - in the hoses.|
|||
||Tape 92A/5|
|CC|Roger. Stand by on that.|
|CC|Okay, Challenger. We're seeing it at the WATER SEPARATOR.|
|CDR-LM|Yes, we can see that.|
|CC|You can pull the WATER SEPARATOR circuit breaker - -|
|CDR-LM|You don't have a bleed on yours. Hit your - hit your disconnect.|
|LMP-LM|Okay.|
|CDR-LM|Okay. That's bett er.|
|LMP-LM|That should do her. I think we've fixed it. I had the hoses in my storage box.|
|CC|Okay. Copy that.|
05 17 30 22|LMP-LM|What was the press ...?|
|CDR-LM|Let me give them. Houston, CDR is reading - 90 -91 percent.|
|CC|Okay. Copy 91-|
|CDR-LM|Did they get that, Jack?|
|LMP-LM|Yes, they got it.|
|CDR-LM|Okay. LMP comm check - okay. You did them?|
|LMP-LM|Yes ... - -|
|CDR-LM|Okay. You go B, and I'11 go A.|
05 17 30 49|LMP-LM|Okay. Going B, Houston. LMP on B.|
05 17 30 54|CDR-LM|Okay. And the CDR is B. I - I'm reading loud and clear. Houston, how do you read CDR?|
|CC|I read you loud and clear.|
05 17 31 03|CDR-LM|Okay, Let's go to AR, Jack. You'll get a tone.|
|||
Tape 92A/6|||
|LMP-LM|Okay. You're loud and clear. AR.|
|CDR-LM|Okay.|
05 17 31 11|LMP-LM|I'm AR. How do you read?|
|CDR-LM|And I - you’re loud and clear. How me?|
05 17 31 15|LMP-LM|And so are you.|
|CDR-LM|Got my tones.|
|LMP-LM|Yes, and I got mine, too.|
05 17 31 18|CDR-LM|You got an 0 flag and a vent flag, press flag and a - -|
|LMP-LM|That's affirm.|
05 17 31 21|CDR-LM|Okay. Houston, how do you read CDR?|
|CC|Loud and clear, CDR.|
05 17 31 28|LMP-LM|And how do you read the LMP?|
|CC|Loud and clear.|
|CC|Okay. And we have - -|
|CDR-LM|Okay, Jack, VHF B - -|
|CC|- - good PLSS data for both of you.|
|CDR-LM|- - full decrease.|
|LMP-LM|SQUELCH?|
|CDR-LM|Full decrease.|
05 17 31 4l|LMP-LM|Yes, that's SQUELCH. VHF B SQUELCH.|
|CDR-LM|Okay. On l6, ECS LGC [sic] PUMP, closed. Why don't you close it again.|
05 17 31 46|LMP-LM|Okay, it's closed.|
|CDR-LM|Okay. On l6, CABIN REPRESS, closed.|
|||
||Tape 92A/7|
05 17 31 51|LMP-LM|Repress - is closed. Hit this, too.|
|CDR-LM|Huh? Okay.|
|CDR-LM|Okay. CABIN REPRESS, closed. SUIT FAJS DELTA-P, OPEN?|
05 17 32 09|LMP-LM|Delta-P is OPEN.|
|CDR-LM|SUIT FAN 2, OPEN?|
05 IT 32 12|LMP-LM|2 is OPEN.|
|CDR-LM|Verify ECS CAUTION and 0£ - and WATER SEP lights come on in about a minute. Okay. We’ll watch for it.|
|LMP-LM|Okay.|
|CDR-LM|SUIT GAS DIVERTER, PULL, EGRESS. These are verify.|
