Bibcode|Year|Title|Authors|Publication|Volume|Issue|Page|Abstract|DOI|Samples
1992ga17.conf...48R|1992|The Apollo 17 Samples: The Massifs and Landslide|Ryder, G.|Geology of the Apollo 17 Landing Site|||48|||72415; 76535|
1992LPSC...22..215K|1992|Evolution of isotopic signatures in lunar-regolith nitrogen: noble gases and nitrogen in grain-size fractions from regolith breccia 79035.|Kerridge, J. F., Kim, J. S., Kim, Y., Marti, K.|Lunar and Planetary Science Conference Proceedings|22||215|||74001; 74002; 79035|
1992ga17.conf...31M|1992|Morphology and Composition of Condensates on Apollo 17 Orange and Black Glass|McKay, D. S., Wentworth, S. J.|Geology of the Apollo 17 Landing Site|||31|||74001; 74220|
1992ga17.conf...42N|1992|Lithologies Contributing to the Clast Population in Apollo 17 LKFM Basaltic Impact Melts|Norman, M. D., Taylor, G. J., Spudis, P., Ryder, G.|Geology of the Apollo 17 Landing Site|||42|||76295; 76315|
1992ga17.conf...24J|1992|Possible Petrogenetic Associations Among Igneous Components in North Massif Soils: Evidence in 2-4-mm Soil Particles from 76503|Jolliff, B. L., Bishop, K. M., Haskin, L. A.|Geology of the Apollo 17 Landing Site|||24|||76503|
1992LPSC...22..381P|1992|U-Th-Pb, Rb-Sr, and Sm-Nd isotopic systematics of lunar troctolitic cumulate 76535: implications on the age and origin of this early lunar, deep-seated cumulate.|Premo, W. R., Tatsumoto, M.|Lunar and Planetary Science Conference Proceedings|22||381|||76535; 78235|
1992ga17.confQ..61W|1992|Troctolitic Anorthosite from 77115: A Magnesian Member of the Alkalic Suite|Warren, P. H., Kallemeyn, G. W.|Geology of the Apollo 17 Landing Site|||61|||77115|
1992ga17.conf...29L|1992|Geochemistry of HASP, VLT, and Other Glasses from Double Drive Tube 79001/2|Lindstrom, D. J., Wentworth, S. J., Martinez, R. R., McKay, D. S.|Geology of the Apollo 17 Landing Site|||29|||79001|
1992Metic..27Q.206B|1992|An Interstellar Component in the Lunar Regolith|Brilliant, D. R., Franchi, I. A., Arden, J. W., Pillinger, C. T.|Meteoritics|27|3|206|||79035|
|1991|Exploring the lunar mantle with secondary ion mass spectrometry: a comparison of lunar picritic glass beads from the Apollo 14 and Apollo 17 sites|Shearer, C. K., Papike, J. J., Galbreath, K. C., and Shimizu, N.|Earth and Planetary Science Letters|102 (2)||134-147||http://dx.doi.org/10.1016/0012-821x(91)90003-z|70017; 70295; 74115; 78546; 79035; 79135|
|1991|Fe-Mn-Mg in plagioclase from lunar basalt and highland samples (abs)|Delaney, J. S. and Sutton, S. R.|Proceedings of the 22nd Lunar and Planetary Science Conference|||299-300 |||70035; 78235|
|1991|A strontium and neodymium isotopic study of Apollo 17 high-Ti mare basalts: Resolution of ages, evolution of magmas, and origins of source heterogeneities|Paces, J. B., Nakai, S., Neal, C. R., Taylor, L. A., Halliday, A. N., and Lee, D. C.|Geochimica et Cosmochimica Acta|55 (7)||2025-2043||http://dx.doi.org/10.1016/0016-7037(91)90040-c|70138; 70139; 71069; 71095; 71097; 71539; 71545; 71576; 74247; 74255; 74275; 74285; 74287; 77516; 78586|
|1991|Mineral compositions in pristine lunar highland rocks and the diversity of highland magmatism|Bersch, M. G., Taylor, G. J., Keil, K., and Norman, M. D.|Geophysical Research Letters|18 (11)||2085-2088||http://dx.doi.org/10.1029/91GL02540|72415; 73146; 73217; 73235; 76255; 76335; 76535; 76536; 77035; 77075; 77077; 77115; 78235; 78255|
|1991|Anorthosites with negative Eu anomalies in Apollo 17 breccias: Further evidence for REEP metasomatism (abs)|Eckert, J. O., Taylor, L. A., Neal, C. R., and Patchen, A. D.|Proceedings of the 22nd Lunar and Planetary Science Conference|||331-332 |||73215; 73216; 77035|
|1991|Cumulate lithologies and melt rocks from Apollo 17 breccias: Correlations of whole-rock and mineral chemistry (abs)|Eckert, J. O., Taylor, L. A., Neal, C. R., and Schmitt, R. A.|Proceedings of the 22nd Lunar and Planetary Science Conference|||333-334 |||73215; 73216; 77035|
|1991|Spinel troctolite from Apollo 17 breccia 73215: Evidence for petrogenesis as deep-seated lunar crust (abs)|Eckert, J. O., Taylor, L. A., and Neal, C. R.|Proceedings of the 22nd Lunar and Planetary Science Conference|||329-330 |||73215|
|1991|Evidence for metasomatism of the lunar highlands and the origin of whitlockite|Neal, C. R. and Taylor, L. A.|Geochimica et Cosmochimica Acta|55.0||2965-2980 |||73216|
|1991|Nitrogen isotopes in the 74001/74002 double drive tube from Shorty Crater, Apollo 17|Kerridge, J. F., Eugster, O., Kim, J. S., and Marti, K.|Proceedings of the 21st Lunar and Planetary Science Conference|||291-299 |||74001; 74002|
|1991|Pb isotopes in troctolite 76535 (abs)|Premo, W. R. and Tatsumoto, M.|Proceedings of the 22nd Lunar and Planetary Science Conference|||1093-1094 |||76535; 78235|
|1991|Pristine moon rocks: Apollo 17 anorthosites|Warren, P. H., Jerde, E. A., and Kallemeyn, G. W.|Proceedings of the 21st Lunar and Planetary Science Conference|||51-61 |||77539|
|1991|Rb-Sr and Sm-Nd ages for lunar norite 78235/78236: Implications on the U-Pb isotopic systematics in this high-Mg rock (abs)|Premo, W. R.|Proceedings of the 22nd Lunar and Planetary Science Conference|||1089-1090 |||78235; 78236|
|1991|U-Th-Pb isotopic systematics of lunar norite 78235|Premo, W. R. and Tatsumoto, M.|Proceedings of the 21st Lunar and Planetary Science Conference|||89-100 |||78235|
|1991|Evolution of isotopic signatures in lunar regolith nitrogen: Noble gases and N in ilmenite grain-size fractions from regolith breccia 79035 (abs)|Benkert, J. P., Kerridge, J. F., Kim, J. S., Kim, Y., Marti, K., Signer, P., and Wieler, R.|Proceedings of the 22nd Lunar and Planetary Science Conference|||85-86 |||79035|
|1991|A comparison of solar wind and solar system xenon abundances (abs)|Wiens, R. C., Burnett, D. S., Neugebauer, M., and Pepin, R. O.|Proceedings of the 22nd Lunar and Planetary Science Conference|||1503-1504 |||79035|
1991AdSpR..11..205B|1991|The extreme ultraviolet explorer mission|Bowyer, S., Malina, R. F.|Advances in Space Research|11||205||http://dx.doi.org/10.1016/0273-1177(91)90077-W|70180; 70250|
1991LPSC...21..301K|1991|A reevaluation of the solar-wind sputtering rate on the lunar surface.|Kerridge, J. F.|Lunar and Planetary Science Conference Proceedings|21||301|||71501|
1991PhRvA..44.2410Z|1991|Lorentz lattice-gas and kinetic-walk model|Ziff, Robert M., Kong, X. P., Cohen, E. G. D.|Physical Review A|44|4|2410||http://dx.doi.org/10.1103/PhysRevA.44.2410|72142|
1991LPSC...21..291K|1991|Nitrogen isotopes in the 74001/74002 double-drive tube from Shorty Crater, Apollo 17.|Kerridge, J. F., Eugster, O., Kim, J. S., Marti, K.|Lunar and Planetary Science Conference Proceedings|21||291|||74001; 74002|
1991LPSC...21...51W|1991|Pristine moon rocks: Apollo 17 anorthosites.|Warren, P. H., Jerde, E. A., Kallemeyn, G. W.|Lunar and Planetary Science Conference Proceedings|21||51|||74114|
1991LPSC...21...89P|1991|U-Th-Pb isotopic systematics of lunar norite 78235.|Premo, W. R., Tatsumoto, M.|Lunar and Planetary Science Conference Proceedings|21||89|||78235|
1991GeCoA..55.3167S|1991|The natural thermoluminescence of meteorites: III. lunar and basaltic meteorites|Sears, Derek W. G., Benoit, Paul H., Sears, Hazel, Batchelor, J. David, Symes, Steve|Geochimica et Cosmochimica Acta|55|11|3167||http://dx.doi.org/10.1016/0016-7037(91)90481-J|79002|
1991E&PSL.103...55B|1991|Composition of solar wind noble gases released by surface oxidation of a metal separate from the Weston meteorite|Becker, R. H., Pepin, R. O.|Earth and Planetary Science Letters|103|1-4|55||http://dx.doi.org/10.1016/0012-821X(91)90149-C|79035|
|1990|Resolution of ages and Sm-Nd isotopic characteristics in Apollo 17 high-Ti basalts (abs)|Paces, J. B., Nakai, S., Neal, C. R., Taylor, L. A., Halliday, A. N., Lee, D.-C., and McKinney, M. C.|Proceedings of the 21st Lunar and Planetary Science Conference|||924-925 |||70017; 70035; 70135; 70138; 70139; 70215; 70255; 71055; 71069; 71095; 71097; 71539; 71545; 71576; 74247; 74255; 74275; 74285; 74287; 75035; 75055; 75075; 77516; 78586; 79155|
|1990|Petrology and chemistry of Apollo 17 regolith breccias: A history of mixing of highland and mare regolith|Simon, S. B., Papike, J. J., Gosselin, D. C., Laul, J. C., Hughes, S. S., and Schmitt, R. A.|Proceedings of the 20th Lunar and Planetary Science Conference|||219-230 |||70019; 70175; 70295; 74115; 74246; 76565; 78546; 79035; 79135; 79175|
|1990|Ilmenite in high-Ti Apollo 17 basalts: Variations in composition with degree of exsolution (abs)|Muhich, T., Vaniman, D. T., and Heiken, G.|Proceedings of the 21st Lunar and Planetary Science Conference|||817-819 |||70035; 70215; 71055; 78505|
|1990|The significance of fractional crystallization in the petrogenesis of Apollo 17 Type A and B high-Ti basalts|Neal, C. R., Taylor, L. A., Patchen, A. D., Hughes, S. S., and Schmitt, R. A.|Geochimica et Cosmochimica Acta|54||1817 - 1833 |||70138; 70139; 70145; 70146; 70147; 70148; 70155; 70156; 70157; 70165; 71047; 71048; 71049; 71087; 71088; 71089; 71095; 71096; 71097; 71157; 73216; 74286; 75065; 75086; 75087; 76037; 79265|
|1990|Open- and closed-system magma evolution of Apollo 17 high-Ti basalts and origin of source heterogeneities at 4.1 Ga: Sr-Nd isotopic evidence (abs)|Paces, J. B., Neal, C. R., Nakai, S., Taylor, L. A., and Halliday, A. N.|Proceedings of the 21st Lunar and Planetary Science Conference|||926-927 |||70138; 70139; 71069; 71095; 71097; 71539; 71545; 71576; 74247; 74255; 74275; 74285; 74287; 77516; 78586|
|1990|La/Sm ratios in mare basalts as a consequence of mafic cumulate fractionation from an initial lunar magma (abs)|Shaffer, E., Brophy, J. G., and Basu, A.|Proceedings of the 21st Lunar and Planetary Science Conference|||1130-1131 |||70215|
|1990|Two new Type C basalts: Petrogenetic implications for source evolution and magma genesis at the Apollo 17 site (abs)|Neal, C. R., Paces, J. B., Taylor, L. A., and Hughes, S. S.|Proceedings of the 21st Lunar and Planetary Science Conference|||855-856 |||71095; 74245; 74247; 74255; 74275; 74285; 74287|
|1990|The importance of fractional crystallization in the petrogenesis of Apollo 17 Type A and B high-Ti basalts (abs)|Neal, C. R., Taylor, L. A., Hughes, S. S., and Schmitt, R. A.|Proceedings of the 21st Lunar and Planetary Science Conference|||857-858 |||71095|
|1990|Rb-Sr and Sm-Nd isotopic studies of an Apollo 17 KREEPy basalt (abs)|Shih, C.-Y., Bansal, B. M., Wiesmann, H., and Nyquist, L. E.|Proceedings of the 21st Lunar and Planetary Science Conference|||1148-1149 |||72275|
|1990|Petrology of the olivine mountains at Copernicus (abs)|Pieters, C. M., Pratt, S. F., and Sunshine, J. M.|Proceedings of the 21st Lunar and Planetary Science Conference|||962-963 |||72415; 78235|
|1990|An Apollo 17 safari: Exciting new clast from breccia pull apart efforts (abs)|Neal, C. R., Taylor, L. A., and Patchen, A. D.|Proceedings of the 21st Lunar and Planetary Science Conference|||859-860 |||73215; 73216|
|1990|The dichotomy between primitive highland cumulates and evolved interstitial whitlockites: The process of REEP-fraction metasomatism (abs)|Neal, C. R., Taylor, L. A., and Patchen, A. D.|Proceedings of the 21st Lunar and Planetary Science Conference|||863-864 |||73216|
|1990|Silicate liquid immiscibility in isothermal crystallization experiments|Longhi, J.|Proceedings of the 20th Lunar and Planetary Science Conference|||13-24 |||75055|
|1990|Pb isotopes in norite 78235 (abs)|Premo, W. R. and Tatsumoto, M.|Proceedings of the 21st Lunar and Planetary Science Conference|||977-978 |||78235|
1990NIMPB..52..601F|1990|Production of <SUP>41</SUP>Ca and K, Sc and V short-lived isotopes by the irradiation of Ti with 35 to 150 MeV protons: applications to solar cosmic ray studies|Fink, D., Sisterson, J., Vogt, S., Herzog, G., Klein, J., Middleton, R., Koehler, A., Magliss, A.|Nuclear Instruments and Methods in Physics Research B|52|3-4|601||http://dx.doi.org/10.1016/0168-583X(90)90483-B|74275|
|1989|Germanium abundances in lunar basalts: Evidence of mantle metasomatism|Dickinson, T., Taylor, G. J., Keil, K., and Bild, R. W.|Proceedings of the 19th Lunar and Planetary Science Conference|||189-198 |||70017; 70135; 70215; 71055; 74275|
|1989|Petrography of lunar ilmenite resources (abs)|Heiken, G. H. and Vaniman, D. T.|Proceedings of the 20th Lunar and Planetary Science Conference|||400-401 |||70017; 70215; 74275; 78505|
|1989|Comparative petrology and chemistry of Apollo 17 regolith breccias and soils (abs)|Simon, S. B., Papike, J. J., Laul, J. C., Hughes, S. S., and Schmitt, R. A.|Proceedings of the 20th Lunar and Planetary Science Conference|||1014-1015 |||70175; 74115; 76565|
|1989|Millimeter petrology and kilometer mineral exploration of the Moon|Pieters, C. M. and Taylor, G. J.|Proceedings of the 19th Lunar and Planetary Science Conference|||115-125 |||72415; 78235|
|1989|The nature of barium partitioning between immiscible melts: A comparison of experimental and natural systems with reference to lunar granite petrogenesis|Neal, C. R. and Taylor, L. A.|Proceedings of the 19th Lunar and Planetary Science Conference|||209-218 |||73215; 73255|
|1989|207Pb/206Pb ages of zircon-containing rock fragments indicate continuous magmatism in the lunar crust from 4350 to 3900 million years (abs)|Meyer, C., Williams, I. S., and Compston, W.|Proceedings of the 20th Lunar and Planetary Science Conference|||691-692 |||73217; 73235|
|1989|The barium problem in silicate liquid immiscibility: Influence of melt composition and structure on elemental partitioning (abs)|Neal, C. R. and Taylor, L. A.|Proceedings of the 20th Lunar and Planetary Science Conference|||770-771 |||73255|
|1989|Ages of pristine lunar plutonic rocks and their petrogenetic implications (abs)|Shih, C.-Y., Nyquist, L. E., Dasch, E. J., Bansal, B. M., and Wiesmann, H.|Proceedings of the 20th Lunar and Planetary Science Conference|||1004-1005 |||73255; 76535; 78236|
|1989|Petrogenetic modeling of 74220 high-Ti orange volcanic glasses and the Apollo 11 and 17 high-Ti mare basalts|Hughes, S. S., Delano, J. W., and Schmitt, R. A.|Proceedings of the 19th Lunar and Planetary Science Conference|||175-188 |||74220|
|1989|REE and selected minor and trace element microdistributions in some pristine lunar highlands rocks (abs)|Heavilon, C. F. and Crozaz, G.|Proceedings of the 20th Lunar and Planetary Science Conference|||398-399 |||76535|
|1989|Maturity and geochemistry of the van Serg core (79001/2) with implications for micrometeorite compositions|Korotev, R. L., Lauer, H. V., and Morris, R. V.|Proceedings of the 19th Lunar and Planetary Science Conference|||269-284 |||79001; 79002|
|1989|Nitrogen isotopes in drive tube 79002/79001: Regolith history and nitrogen isotopic evolution in the solar wind|Stone, J. and Clayton, R. N.|Proceedings of the 19th Lunar and Planetary Science Conference|||285-295 |||79001; 79002|
1989JGR....9417839H|1989|Pb, Sr, and Nd isotopes in seamount basalts from the Juan de Fuca Ridge and Kodiak-Bowie Seamount Chain, northeast Pacific|Hegner, E., Tatsumoto, M.|Journal of Geophysical Research|94|B12|17,839||http://dx.doi.org/10.1029/JB094iB12p17839|70275|
1989GeCoA..53.1135B|1989|Long-term changes in solar wind elemental and isotopic ratios: A comparison of two lunar ilmenites of different antiquities|Becker, Richard H., Pepin, Robert O.|Geochimica et Cosmochimica Acta|53|5|1135||http://dx.doi.org/10.1016/0016-7037(89)90219-6|71501; 79035|
1989LPSC...19..175H|1989|Petrogenetic modeling of 74220 high-Ti orange volcanic glasses and the Apollo 11 and 17 high-Ti mare basalts.|Hughes, S. S., Delano, J. W., Schmitt, R. A.|Lunar and Planetary Science Conference Proceedings|19||175|||74220|
1989LPSC...19..269M|1989|Maturity and geochemistry of the Van Serg core (79001/2) with implications for micrometeorite composition.|Morris, R. V., Korotev, R. L., Lauer, H. V., Jr.|Lunar and Planetary Science Conference Proceedings|19||269|||79001|
1989LPSC...19..285S|1989|Nitrogen isotopes in drive tube 79002/79001: regolith history and nitrogen isotopic evolution in the solar wind.|Stone, J., Clayton, R. N.|Lunar and Planetary Science Conference Proceedings|19||285|||79001; 79002|
|1988|Late-stage enrichment of Ge in the magma ocean: Evidence from lunar basalts (abs)|Dickinson, T., Bild, R. W., Taylor, G. J., and Keil, K.|Proceedings of the 19th Lunar and Planetary Science Conference|||277-278 |||70017; 70135; 70215; 71055; 74275|
|1988|Normal and anomalous compositions of lunar feldspars- I. Lunar plagioclases (abs)|Miura, Y.|Proceedings of the 19th Lunar and Planetary Science Conference|||794-795 |||70017; 73215; 75055; 76535; 77515|
|1988|Lunar dunite 72415-72417: Siderophile and volatile trace elements (abs)|Morgan, J. W. and Wandless, G. A.|Proceedings of the 19th Lunar and Planetary Science Conference|||804-805 |||72415; 72416; 72417; 73215|
|1988|Confirmation of Zr-Hf fractionation in lunar petrogenesis- an interim report (abs)|Hughes, S. S. and Schmitt, R. A.|Proceedings of the 15th Lunar and Planetary Science Conference|||385-386 |||73215; 77035|
|1988|Ferroan anorthosites and the magma ocean: Searching for trends in the Sea of Confusion (abs)|Bersch, M. G., Taylor, G. J., and Keil, K.|Proceedings of the 19th Lunar and Planetary Science Conference|||67-68 |||73217; 73235|
|1988|Beryllium-10 and aluminum-26 contents of lunar rock 74275 (abs)|Klein, J., Middleton, R., Fink, D., Dietrich, J. W., Aylmer, D., and Herzog, G. F.|Proceedings of the 19th Lunar and Planetary Science Conference|||607-608 |||74275|
|1988|Core 79001/2: An example of extreme mixing in the lunar regolith (abs)|McKay, D. S., Wentworth, S. J., and Basu, A.|Proceedings of the 19th Lunar and Planetary Science Conference|||758-759 |||79001; 79002; 79115|
|1988|Solar He, Ne and Ar in regolith minerals: all are mixtures of two components (abs)|Benkert, J. P., Baur, H., Pedroni, A., Wieler, R., and Signer, P.|Proceedings of the 19th Lunar and Planetary Science Conference|||59-60 |||79035|
1988LPSC...18...11S|1988|Highland materials at Apollo 17: contributions from 72275.|Salpas, P. A., Lindstrom, M. M., Taylor, L. A.|Lunar and Planetary Science Conference Proceedings|18||11|||72275|
1988IAUC.4683....1S|1988|1988 VP4|Shoemaker, C. S., Shoemaker, E. M., Holt, H. E., Rodriquez, T., Bardwell, C. M.|International Astronomical Union Circular|4683||1|||78555|
1988GeCoA..52.1937O|1988|Noble gases in SNC meteorites: Shergotty, Nakhla, Chassigny|Ott, U.|Geochimica et Cosmochimica Acta|52|7|1937||http://dx.doi.org/10.1016/0016-7037(88)90017-8|79001|
1988GeCoA..52..295W|1988|Laboratory shock emplacement of noble gases, nitrogen, and carbon dioxide into basalt, and implications for trapped gases in shergottite EETA 79001|Wiens, R. C., Pepin, R. O.|Geochimica et Cosmochimica Acta|52|2|295||http://dx.doi.org/10.1016/0016-7037(88)90085-3|79001|
|1987|The Lunar Petrographic Thin Section Set|Meyer, C.|||||||70017; 70181; 72275; 74220; 78235|
|1987|Lunar boron: A preliminary study (abs)|Shaw, D. M. and Middleton, T. A.|Proceedings of the 18th Lunar and Planetary Science Conference|||912-913 |||70017|
|1987|Hydrogen distributions in lunar materials (abs)|Gibson, E. K., Bustin, R., Skaugset, A., Can, R. H., Wentworth, S. J., and McKay, D. S.|Proceedings of the 18th Lunar and Planetary Science Conference|||326-327 |||70035; 70215; 72415; 74255; 74275; 75035; 75055; 76015; 76055; 76215; 77135; 78155; 78505; 79135|
|1987|Highland materials at Apollo 17: Contributions from 72275|Salpas, P. A., Lindstrom, M. M., and Taylor, L. A.|Proceedings of the 18th Lunar and Planetary Science Conference|18||11-19 |||72275|
|1987|Apollo 17 KREEPy basalts: Evidence for nonuniformity of KREEP|Salpas, P. A., Taylor, L. A., and Lindstrom, M. M.|Journal of Geophysical Research: Solid Earth|92 (B4)||E340-E348||http://dx.doi.org/10.1029/JB092iB04p0E340|72275|
|1987|Chemical composition and origin of Apollo 15 impact melts|Ryder, G. and Spudis, P.|Journal of Geophysical Research|92 (B4)||E432-E446||http://dx.doi.org/10.1029/JB092iB04p0E432|73215|
|1987|Pristine moon rocks: A "large" felsite and a metal-rich ferroan anorthosite|Warren, P. H., Jerde, E. A., and Kallemeyn, G. W.|Journal of Geophysical Research|90 (B4)||E303-E313||http://dx.doi.org/10.1029/JB092iB04p0E303|73215; 73255; 76535; 78235|
|1987|Allocation of subsamples of Apollo 17 lunar rocks from the boulder at station 7, for study by the International Consortium|Minkin, J. A., Thompson, C. L., and Chao, E. C. T.|||||||77075; 77115; 77135; 77215|
|1987|A potpourri of regolith breccias: ìNewî samples from the Apollo 14, 16 and 17 landing sites|Jerde, E. A., Warren, P. H., Morris, R. V., Heiken, G. H., and Vaniman, D. T.|Journal of Geophysical Research|92||E526-E536 |||78515; 78516; 78555; 79115|
|1987|Solar wind record in the lunar regolith: nitrogen and noble gases|Frick, U., Becker, R. H., and Pepin, R. O.|Proceedings of the 18th Lunar and Planetary Science Conference|||87-120 |||79035|
1987JGR....92.E340S|1987|Apollo 17 KREEPy basalts: evidence for nonuniformity of KREEP|Salpas, Peter A., Taylor, Lawrence A., Lindstrom, Marilyn M.|Journal of Geophysical Research|92|B4|E340|||72275|
1987JGR....92..340S|1987|Apollo 17 KREEPy basalts: evidence for nonuniformity of KREEP.|Salpas, P. A., Taylor, L. A., Lindstrom, M. M.|Journal of Geophysical Research|92||E340||http://dx.doi.org/10.1029/JB092iB04p0E340|72275|
1987JGR....92E.526J|1987|A potpourri of regolith breccias: ‚ÄúNew‚Äù samples from the Apollo 14, 16, and 17 landing sites|Jerde, Eric A., Warren, Paul H., Morris, Richard V., Heiken, Grant H., Vaniman, David T.|Journal of Geophysical Research|92|B4|E526||http://dx.doi.org/10.1029/JB092iB04p0E526|72504; 74220|
1987JGR....92..526J|1987|A potpourri of regolith breccias: "new" samples from the Apollo 14, 16, and 17 landing sites.|Jerde, E. A., Warren, P. H., Morris, R. V., Heiken, G. H., Vaniman, D. T.|Journal of Geophysical Research|92||E526||http://dx.doi.org/10.1029/JB092iB04p0E526|72504|
1987JGR....92.E526J|1987|A potpourrie of regolith breccias: ``New'' samples from the Apollo 14, 16, and 17 landing sites|Jerde, Eric A., Warren, Paul H., Morris, Richard V., Heiken, Grant H., Vaniman, David T.|Journal of Geophysical Research|92|B4|E526|||72504; 74220|
1987JGR....92E.372A|1987|Formation of Apollo 17 orange and black glass beads|Arndt, J., von Engelhardt, W.|Journal of Geophysical Research|92|B4|E372||http://dx.doi.org/10.1029/JB092iB04p0E372|74220|
1987JGR....92..372A|1987|Formation of Apollo 17 orange and black glass beads.|Arndt, J., von Engelhardt, W.|Journal of Geophysical Research|92||E372||http://dx.doi.org/10.1029/JB092iB04p0E372|74220|
1987JGR....92E.349L|1987|On the connection between mare basalts and picritic volcanic glasses|Longhi, John|Journal of Geophysical Research|92|B4|E349||http://dx.doi.org/10.1029/JB092iB04p0E349|74275|
|1986|Apollo 17 KREEPy basalts: Pristine basaltic breccias (abs)|Salpas, P. A., Taylor, L. A., and Lindstrom, M. M.|Proceedings of the 17th Lunar and Planetary Science Conference|||748-749 |||72275|
|1986|The first Apollo 17 ferroan anorthosite: Its significance relative to Mg-suite highland clasts (abs)|Salpas, P. A., Taylor, L. A., and Lindstrom, M. M.|Proceedings of the 17th Lunar and Planetary Science Conference|||752-753 |||72275|
|1986|73235,82 (pomegranate) : An assemblage of lunar zircon with unique overgrowth (abs)|Smith, J. M., Meyer, C., Compston, W., and Williams, I. S.|Proceedings of the 17th Lunar and Planetary Science Conference|||805-806 |||73235|
|1986|A potpourri of pristine moon rocks, including a VHK mare basalt and a unique, augite-rich Apollo 17 anorthosite|Warren, P. H., Shirley, D. N., and Kallemeyn, G. W.|Journal of Geophysical Research|89 (B4)||D319-D330||http://dx.doi.org/10.1029/JB091iB04p0D319|76255|
|1986|Crystal structure refinement of a lunar anorthite, An94|Smyth, J. R.|Journal of Geophysical Research|91||E91-97 |||76535|
|1986|Lunar granulites and their precursor anorthositic norites of the early lunar crust|Lindstrom, M. M. and Lindstrom, D. J.|Journal of Geophysical Research|91 (B4)||D263-D276||http://dx.doi.org/10.1029/JB091iB04p0D263|77017; 78155; 79215|
1986JGR....91..319W|1986|A potpourri of pristine moon rocks, including a VHK mare basalt and aunique, augite-rich Apollo 17 anorthosite.|Warren, P. H., Shirley, D. N., Kallemeyn, G. W.|Journal of Geophysical Research|91||D319||http://dx.doi.org/10.1029/JB091iB04p0D319|76504|
1986JGR....91E..91S|1986|Crystal structure refinement of a lunar anorthite, An<SUB>94</SUB>|Smyth, Joseph R.|Journal of Geophysical Research|91|B13|E91||http://dx.doi.org/10.1029/JB091iB13p00E91|76535|
1986JGR....91E..99B|1986|Shock-implanted noble gases: An experimental study with implications for the origin of Martian gases in shergottite meteorites|Bogard, Donald D., H√∂rz, Friedrich, Johnson, Pratt H.|Journal of Geophysical Research|91|B13|E99||http://dx.doi.org/10.1029/JB091iB13p00E99|79001|
1986GeCoA..50.1039R|1986|Nuclear tracks, Sm isotopes and neutron capture effects in the Elephant Morraine shergottite|Rajan, R. S., Lugmair, G., Tamhane, A. S., Poupeau, G.|Geochimica et Cosmochimica Acta|50|6|1039||http://dx.doi.org/10.1016/0016-7037(86)90385-6|79001|
1986GeCoA..50..955C|1986|Formation ages and evolution of Shergotty and its parent planet from U-Th-Pb systematics|Chen, J. H., Wasserburg, G. J.|Geochimica et Cosmochimica Acta|50|6|955||http://dx.doi.org/10.1016/0016-7037(86)90376-5|79001|
1986GeCoA..50..909L|1986|Chemical systematics of the shergotty meteorite and the composition of its parent body (Mars)|Laul, J. C., Smith, M. R., W√§nke, H., Jagoutz, E., Dreibus, G., Palme, H., Spettel, B., Burghele, A., Lipschutz, M. E., Verkouteren, R. M.|Geochimica et Cosmochimica Acta|50|6|909||http://dx.doi.org/10.1016/0016-7037(86)90373-X|79001|
1986GeCoA..50.1017N|1986|Exposure history of shergottites|Nishiizumi, K., Klein, J., Middleton, R., Elmore, D., Kubik, P. W., Arnold, J. R.|Geochimica et Cosmochimica Acta|50|6|1017||http://dx.doi.org/10.1016/0016-7037(86)90382-0|79001|
1986GeCoA..50.1001S|1986|Xenon and other noble gases in shergottites|Swindle, T. D., Caffee, M. W., Hohenberg, C. M.|Geochimica et Cosmochimica Acta|50|6|1001||http://dx.doi.org/10.1016/0016-7037(86)90381-9|79001|
1986GeCoA..50..889S|1986|Shock metamorphism and petrography of the Shergotty achondrite|St√∂ffler, D., Ostertag, R., Jammes, C., Pfannschmidt, G., Gupta, P. R. Sen, Simon, S. B., Papike, J. J., Beauchamp, R. H.|Geochimica et Cosmochimica Acta|50|6|889||http://dx.doi.org/10.1016/0016-7037(86)90371-6|79001|
1986GeCoA..50..993B|1986|Nitrogen and light noble gases in Shergotty|Becker, Richard H., Pepin, Robert O.|Geochimica et Cosmochimica Acta|50|6|993||http://dx.doi.org/10.1016/0016-7037(86)90380-7|79001|
1986GeCoA..50.2405P|1986|Beryllium-10 contents of shergottites, nakhlites, and Chassigny|Pal, D. K., Tuniz, C., Moniot, R. K., Savin, W., Kruse, T., Herzog, G. F.|Geochimica et Cosmochimica Acta|50|11|2405||http://dx.doi.org/10.1016/0016-7037(86)90022-0|79001|
1986E&PSL..77..149W|1986|The case for a martian origin of the shergottites, II. Trapped and indigenous gas components in EETA 79001 glass|Wiens, R. C., Becker, R. H., Pepin, R. O.|Earth and Planetary Science Letters|77|2|149||http://dx.doi.org/10.1016/0012-821X(86)90156-1|79001|
|1985|Zr-Hf-Ta fractionation during lunar evolution|Hughes, S. S. and Schmitt, R. A.|Journal of Geophysical Research|90 (S01)||31||http://dx.doi.org/10.1029/JB090iS01p00031|70017; 70035; 70215; 70255; 71035; 73215; 74245; 74255; 74275; 75055; 76136; 76539; 77035; 78526|
|1985|Nitrogen abundance and isotopes in lunar breccias- a progress report (abs)|Carr, L. P. and Wright, I. P.|Proceedings of the 16th Lunar and Planetary Science Conference|||115-116 |||70175; 70295; 74246|
|1985|Basalt clasts in breccia 72275: Examples of pre-mare volcanism (abs)|Salpas, P. A. and Taylor, L. A.|Proceedings of the 16th Lunar and Planetary Science Conference|||728-729 |||72275|
