photo_num|mag_number|description|date|photographer
72-H-298||Ron Evans undergoes final flight suit fit checkout at ILC Industries, Dover, Delaware|13-Mar-72|J.L. Pickering
72-H-301||Ronald Evans undergoes final flight fit checkout and integration of the Apollo 7-L spacesuit. Shown with the top layer of the suit on .|13-Mar-72|Ed Hengeveld
72-H-305||Harrison Schmitt undergoes final flight fit checkout and integration of the Apollo 7-L spacesuit.|13-Mar-72|Ed Hengeveld
72-H-306||Harrison Schmitt undergoes final flight fit checkout and integration of the Apollo 7-L spacesuit.|13-Mar-72|Ed Hengeveld
72-H-311||Harrison Schmitt undergoes final flight fit checkout and integration of the Apollo 7-L spacesuit.|13-Mar-72|Ed Hengeveld
72-H-314||1970's hairstyles and fashions abound in this odd photograph taken during a suit fit check|13-Mar-72|Ed Hengeveld
72-H-863||Cernan prepares for EVA training|8-Jun-72|Ed Hengeveld
72-H-868||Harrison Schmitt watches as the Lunar Rover trainer is deployed from lunar module trainer during extravehicular activity training.|8-Jun-72|Ed Hengeveld
72-HC-535||Apollo 17 S-IC stage being erected in preparation for last lunar landing mission|15-May-72|J.L. Pickering
72-HC-684||Apollo 17 astronauts watch their space vehicle roll to the launch complex|6-Sep-72|research: J.L. Pickering
72-HC-686||Schmitt and Cernan pose on Lunar Roving Vehicle with the Apollo 17 Saturn V in the background|6-Sep-72|research: J.L. Pickering
72-HC-692||Apollo 17 Saturn V on pad shortly following rollout||J.L. Pickering
72-HC-699||Harrison Schmitt and Eugene Cernan practice taking lunar soil and rock samples during an EVA exercise.|28-Aug-72|research: J.L. Pickering
72-HC-851||The Apollo 17 Astronauts are shown being suited up for the final portion of the week-long countdown Demonstration Test. Eugene Cernan is being helped by a technician with his suit gear.|20-Nov-72|research: J.L. Pickering
72-HC-852||Gene Cernan scratches his nose during suitup prior to CDDT|21-Nov-72|research: J.L. Pickering
72-HC-853||Apollo 17 Lunar Module Pilot, Harrison Schmitt is shown suited in preparation for the final portion of the week-long Countdown Demonstration Test.|21-Nov-72|research: J.L. Pickering
72-HC-854||(description not yet available)||research: J.L. Pickering
72-HC-855||Cernan in White Room during final portion of week-long Countdown Demonstration Test|21-Nov-72|research: J.L. Pickering
72-HC-856||Personnel in the Launch Control Center's Firing Room 1 monitor the final count of the dry portion of the week long Countdown Demonstration Test.|21-Nov-72|research: J.L. Pickering
72-HC-865||Ron Evans, shown wearing a quarantine mask, examines SIM bay from which he will retrieve mapping camera film cassettes during his EVA conducted enroute home from the Moon|29-Nov-72|research: J.L. Pickering
72-HC-866||Apollo 17 crewmembers in front of full-scale lunar module mockup|1-Dec-72|research: J.L. Pickering
72-HC-869||Ron Evans prepares to fly a T-38 jet aircraft over spaceport area to sharpen his flying skills|2-Dec-72|research: J.L. Pickering
72-HC-870||Apollo 17 crew reviews flight plans|3-Dec-72|research: J.L. Pickering
72-HC-872||Apollo 17 crew on swing arm 9 during visit to pad 39A|4-Dec-72|research: J.L. Pickering
72-HC-873||Apollo 17 crew at base of Saturn V during visit to pad|4-Dec-72|research: J.L. Pickering
72-HC-876||Apollo 17 LMP Harrison H. Schmitt, center, examines items that will be carried aboard spacecraft with his crewmates behind him|4-Dec-72|research: J.L. Pickering
72-HC-877||Apollo 17 crew during pre-flight dinner in crew quarters|6-Dec-72|research: J.L. Pickering
72-HC-878||Gene Cernan undergoes final spacesuit pressure checks|6-Dec-72|research: J.L. Pickering
72-HC-879||Ron Evans relaxes during pre-launch spacesuit pressure checks|6-Dec-72|research: J.L. Pickering
72-HC-880||Jack Schmitt undergoes final spacesuit pressure checks|6-Dec-72|research: J.L. Pickering
72-HC-881||Ron Evans says goodbye to his wife as the Apollo 17 crew leaves the Manned Spacecraft Operations Bldg en route to the launch pad|6-Dec-72|research: J.L. Pickering
72-HC-884||Alabama Governor George Wallace waves to well wishers at the Kennedy Space Center during Apollo 17 prelaunch activities.|7-Dec-72|research: J.L. Pickering
72-HC-888||Members of Government-Industry team that launched Apollo 17 Saturn V space vehicle applaud remarks by Vice President Spiro T. Agnew in launch control center|7-Dec-72|research: J.L. Pickering
72-HC-891||Gene Cernan in the White Room|7-Dec-72|J.L. Pickering
72-HC-892||In the White Room high above Launch Complex 39A, Ronald Evans prepares to join crew mates in the spacecraft, which is partially shown in the rear.|7-Dec-72|research: J.L. Pickering
72-HC-893||A composite photo of the Apollo 17 space vehicle on the launch pad and a streak exposure of the vehicle as it lifted off (ID possibly 72-HC-895)||research: J.L. Pickering
72-HC-894||The Apollo 17 Saturn V illuminates the Florida sky as it streaks to the Moon||research: J.L. Pickering
72-HC-896||A composite photo of the Apollo 17 mission emblem, the Saturn V space vehicle on the launch pad, and the flight crew||
72-HC-907||Gene Cernan waves as the Apollo 17 crew disembarks from recovery helicopter||Ed Hengeveld
73-H-86||Ron Evans addressing Congress following Apollo 17 mission||J.L. Pickering
73-H-87||Jack Schmitt addresses a joint session of Congress as his fellow Apollo 17 astronauts look on|22-Jan-73|
AP17-ELLINGTON2||Apollo 17 crew at Ellington AFB|21-Dec-72|J.L. Pickering
AP17-ELLINGTON3||Apollo 17 crew at Ellington AFB|21-Dec-72|J.L. Pickering
AP17-ELLINGTON5||Apollo 17 crew at Ellington Air Force Base|21-Dec-72|J.L. Pickering
AP17-KSC-NOID||Apollo 17 crew posing with center Director Kurt Debus at a luncheon during the crew's return to KSC|20-Feb-73|J.L. Pickering
AP17-LIFTOFF2-NOID||liftoff of Apollo 17||J.L. Pickering
AP17-LIFTOFF-B-NOID||liftoff of Apollo 17||J.L. Pickering
AP17-LIFTOFF-NOID||Apollo 17 liftoff viewed from launch tower||
AP17-ROLLOUT3-NOID||Apollo 17 rollout||J.L. Pickering
AP17-ROLLOUT-NOID||Apollo 17 rollout||J.L. Pickering
AP17-SIVB-NOID||Apollo 17 S-IVB stage being hoisted in VAB||J.L. Pickering
20204|133|(description not yet available)||JSC scan
20205|133|LRV traverse / Station 3 to Station 4||JSC scan
20206|133|LRV traverse / Station 3 to Station 4||JSC scan
20207|133|LRV traverse / Station 3 to Station 4||JSC scan
20208|133|LRV traverse / Station 3 to Station 4||JSC scan
20212|133|(description not yet available)||JSC scan
20227|133|LRV traverse / Station 3 to Station 4||JSC scan
20228|133|Station 4 / pan frame - Turning to park at Shorty Crater||JSC scan
20232|133|(description not yet available)||JSC scan
20248|133|Station 4 / pan frame - Cernan replacing the dustbrush in its holder||JSC scan
20295|133|(description not yet available)||JSC scan
20296|133|(description not yet available)||JSC scan
20297|133|(description not yet available)||JSC scan
20298|133|(description not yet available)||JSC scan
20316|133|LRV traverse / Station 4 to Station 5||JSC scan
20319|133|LRV traverse / Station 4 to Station 5||JSC scan
20325|133|LRV traverse / Station 4 to Station 5||JSC scan
20326|133|LRV traverse / Station 4 to Station 5||JSC scan
20327|133|LRV traverse / Station 4 to Station 5||JSC scan
20328|133|Station 5 / Samples 5015 & 5035||JSC scan
20329|133|Station 5 / Samples 5015 & 5035 / LRV||JSC scan
20336|133|(description not yet available)||JSC scan
20338|133|(description not yet available)||JSC scan
20339|133|(description not yet available)||JSC scan
20340|133|(description not yet available)||JSC scan
20341|133|(description not yet available)||JSC scan
20342|133|LRV||JSC scan
20343|133|(description not yet available)||JSC scan
20344|133|(description not yet available)||JSC scan
20356|133|(description not yet available)||JSC scan
20357|133|(description not yet available)||JSC scan
20358|133|(description not yet available)||JSC scan
20359|133|(description not yet available)||JSC scan
20360|133|(description not yet available)||JSC scan
20378|134|Apollo 17 Commander Gene Cernan salutes the U.S. flag||JSC scan
20379|134|Cernan salutes the U.S. flag||JSC scan
20380|134|Cernan salutes the U.S. flag||JSC scan
20381|134|Jack Schmitt poses beside the U.S. flag||JSC scan
20382|134|Jack Schmitt poses beside the U.S. flag||JSC scan
20383|134|close view of Schmitt with flag||JSC scan
20384|134|Jack Schmitt and U.S. flag with Earth above|11-Dec-72|JSC scan
20385|134|Cernan holding corner of flag||JSC scan
20386|134|Cernan and the flag||JSC scan
20387|134|Cernan and U.S. flag with Earth above||JSC scan
20388|134|Minus-Z (east) LM footpad||JSC scan
20389|134|Front of LRV, LCRU mirror, TV camera, dustbrush, TCU, battery covers, LRV sampler cups||JSC scan
20390|134|LRV traverse / Station SEP to Station 1 - Bear Mountain||JSC scan
20391|134|LRV traverse / Station SEP to Station 1||JSC scan
20393|134|LRV traverse / Station SEP to Station 1||JSC scan
20394|134|Station 1 boulder prior to sampling||JSC scan
20395|134|Station 1 boulder prior to sampling||JSC scan
20396|134|Station 1 boulder after sampling||JSC scan
20398|134|Station 1 boulder #2 prior to sampling||JSC scan
20399|134|Station 1 boulder #2 after sampling||JSC scan
20400|134|(description not yet available)||JSC scan
20403|134|Station 1 closeup with tongs for focus / scale||JSC scan
20408|134|(description not yet available)||JSC scan
20411|134|(description not yet available)||JSC scan
20421|134|LRV||JSC scan
20425|134|from Station 1 pan: Schmitt with rake||JSC scan
20426|134|Station 1 pan frame - Schmitt with the rake filled with small rocks. Gnomon||JSC scan
20435|134|view of Schmitt at Surface Electrical Properties experiment; LM and LRV in background||JSC scan
20436|134|Station SEP site pan - LRV tracks and SEP antenna wire||JSC scan
20437|134|Station SEP site pan||JSC scan
20438|134|Station SEP site pan - Schmitt reaching down to open the solar panels on the SEP transmitter||JSC scan
20439|134|Station SEP site pan - Schmitt reaching for the solar panels with the South Massif in the background||JSC scan
20440|134|Station SEP site pan - Schmitt opening the solar panels on SEP transmitter||JSC scan
20441|134|Station SEP site pan||JSC scan
20442|134|Station SEP site pan - Cernan's shadow||JSC scan
20443|134|Station SEP site pan||JSC scan
20444|134|Station SEP site pan - LRV, rake and scoop, SEP antenna wire in LRV track||JSC scan
20445|134|Station SEP site pan - LRV, rake and LRV tracks||JSC scan
20446|134|Station SEP site pan - North Massif, north SEP arm, boulder track on North Massif||JSC scan
20447|134|view of LM during LRV traverse from Station SEP to LM||JSC scan
20448|134|(description not yet available)||JSC scan
20453|134|Schmitt jumping into the LMP Rover seat at Station 9||JSC scan
20457|134|LM viewed from LRV||JSC scan
20458|134|LM viewed from LRV||JSC scan
20459|134|LM viewed from LRV||JSC scan
20460|134|LM viewed from LRV||JSC scan
20461|134|LM and half-Earth above||JSC scan
20462|134|LM and Rover (w/ Schmitt) during EVA-3 closeout||JSC scan
20463|134|LM and half-Earth above||research: Ricardo Salam
20464|134|LM and half-Earth above||JSC scan
20466|134|closeup of U.S. flag with Earth above||JSC scan
20467|134|(description not yet available)||JSC scan
20469|134|closeup of LM flag decal||JSC scan
20471|134|closeup of Jack Schmitt at Rover with Earth above||JSC scan
20472|134|Schmitt at the Rover||JSC scan
20475|134|Cernan at the Rover||JSC scan
20477|134|Cernan at the Rover|13-Dec-72|JSC scan
20478|134|Cernan at the Rover||JSC scan
20482|134|"Cernan unveils Apollo 17 plaque on leg of LM ""Challenger"""||JSC scan
20488|134|LM plaque and Cernan||JSC scan
20489|134|Central ALSEP station / Geophone Rock in b.g.||JSC scan
20490|134|Lower portion of north side of ALSEP Central Station||JSC scan
20491|134|closeup of ALSEP central station||JSC scan
20492|134|west heat flow hole viewed from west||JSC scan
20493|134|up-sun view of west heat flow hole||JSC scan
20494|134|west heat flow hole viewed from northwest||JSC scan
20495|134|Station ALSEP / heat flow probe||JSC scan
20496|134|Station ALSEP / heat flow probe||JSC scan
20499|134|(description not yet available)||JSC scan
20500|134|(description not yet available)||JSC scan
20501|134|(description not yet available)||JSC scan
20502|134|(description not yet available)||JSC scan
20505|134|(description not yet available)||JSC scan
20506|134|LM, flag, LRV tracks, Cernan at LRV||JSC scan
20507|134|view of flag and LM (Cernan at LRV in distance)||JSC scan
20508|134|view of flag and LM (East Massif in b.g.)||JSC scan
20517|134|Gene Cernan in the LM following EVA (out of focus)||JSC scan
20524|134|helmets and moonsuits stowed in LM after final moonwalk||JSC scan
20530|134|Jack Schmitt in the LM||JSC scan
20538|135|(description not yet available)||JSC scan
20541|135|(description not yet available)||JSC scan
20542|135|view from the back of the Rover at the start of the EVA-2 Traverse, with the newly installed replacement fender on the right-rear wheel||research: Eric Jones
20544|135|Cernan drives the Rover near the SEP deployment site||JSC scan
20545|135|(description not yet available)||JSC scan
20547|135|(description not yet available)||JSC scan
20550|135|(description not yet available)||JSC scan
20554|135|(description not yet available)||JSC scan
20568|135|(description not yet available)||JSC scan
20591|135|LRV traverse / Station SEP to Station 2||JSC scan
20649|135|(description not yet available)||JSC scan
20668|135|(description not yet available)||JSC scan
20674|135|(description not yet available)||JSC scan
20683|136|(description not yet available)||JSC scan
20684|136|(description not yet available)||JSC scan
20685|136|STA ALSEP / pan||JSC scan
20686|136|STA ALSEP / pan||JSC scan
20687|136|STA ALSEP / pan||JSC scan
20688|136|STA ALSEP / pan||JSC scan
20689|136|STA ALSEP / pan||JSC scan
20690|136|STA ALSEP / pan||JSC scan
20691|136|STA ALSEP / pan||JSC scan
20692|136|STA ALSEP / pan||JSC scan
20693|136|STA ALSEP / pan||JSC scan
20694|136|STA ALSEP / pan / Cernan extracting deep core sample||JSC scan
20695|136|STA ALSEP / pan / Cernan extracting deep core sample||JSC scan
20696|136|STA ALSEP / pan / Cernan extracting deep core sample||JSC scan
20697|136|STA ALSEP / pan / LRV||JSC scan
20698|136|STA ALSEP / pan / LRV / LM||JSC scan
20699|136|STA ALSEP / pan / LRV / LM||JSC scan
20700|136|STA ALSEP / pan / LM / central STA||JSC scan
20701|136|STA ALSEP / pan / LM / central STA||JSC scan
20702|136|STA ALSEP / pan / central STA||JSC scan
20703|136|STA ALSEP / pan / central STA||JSC scan
20704|136|STA ALSEP / pan / central STA||JSC scan
20705|136|STA ALSEP / pan||JSC scan
20706|136|STA ALSEP / pan||JSC scan
20707|136|STA ALSEP / pan||JSC scan
20708|136|STA ALSEP / pan||JSC scan
20709|136|STA ALSEP / pan||JSC scan
20710|136|STA ALSEP / pan||JSC scan
20711|136|STA ALSEP / central STA||JSC scan
20712|136|STA ALSEP / central STA||JSC scan
20713|136|STA ALSEP / central STA||JSC scan
20714|136|STA ALSEP / rock / extension handle||JSC scan
20715|136|STA ALSEP / rock / extension handle||JSC scan
20716|136|STA ALSEP / rock / scoop||JSC scan
20717|136|(description not yet available)||JSC scan
20718|136|Station ALSEP / boulder closeup||JSC scan
20719|136|Station ALSEP / boulder closeup (stereo companion to 20718)||JSC scan
20720|136|STA ALSEP / samples||JSC scan
20721|136|STA ALSEP / samples||JSC scan
20722|136|(description not yet available)||JSC scan
20723|136|(description not yet available)||JSC scan
20726|136|(description not yet available)||JSC scan
20727|136|LRV traverse / Station SEP to Station 1 - Bear Mountain||JSC scan
20728|136|LRV traverse / Station SEP to Station 1 - Bear Mountain, East Massif||JSC scan
20739|136|STA 1 / samples||JSC scan
20741|136|STA 1 / samples||JSC scan
20743|136|STA 1 / samples / seismic charge 6||JSC scan
20757|136|STA 1 / pan / Cernan at LRV||JSC scan
20758|136|STA 1 / pan / Cernan at LRV||JSC scan
20759|136|STA 1 / pan / Cernan at LRV||JSC scan
20760|136|STA 1 / pan / Cernan at LRV||JSC scan
20761|136|STA 1 / pan / LRV||JSC scan
20765|136|STA 1 / pan frame||JSC scan
20777|136|LRV traverse / STA 1 to STA SEP||JSC scan
20780|136|LRV traverse / STA 1 to STA SEP||JSC scan
20783|136|LRV traverse / STA 1 to STA SEP||JSC scan
20799|136|LRV traverse / STA 1 to STA SEP / LM||JSC scan
20800|136|LRV traverse / STA 1 to STA SEP||JSC scan
20820|136|LRV traverse / LRV partial pan||JSC scan
20827|136|LRV traverse / LRV partial pan / LM||JSC scan
20828|136|LRV traverse / LRV partial pan / LM||JSC scan
20829|136|LRV traverse / STA 1 to STA SEP / LM||JSC scan
20862|136|LRV traverse / STA 1 to STA SEP / LM||JSC scan
20872|137|(description not yet available)||JSC scan
20873|137|view of LM from pan sequence|12-Dec-72|JSC scan
20874|137|(description not yet available)||JSC scan
20883|137|(description not yet available)||JSC scan
20889|137|(description not yet available)||JSC scan
20892|137|(description not yet available)||JSC scan
20900|137|Station 2 samples||JSC scan
20901|137|Station 2 samples||JSC scan
20957|137|view of Earth from lunar surface||JSC scan
20960|137|boulder at Station 2 and Earth above||JSC scan
20963|137|Station 2 samples||JSC scan
20964|137|Station 2 samples||JSC scan
20965|137|Station 2 sample||JSC scan
20976|137|LRV in distance||JSC scan
20977|137|LRV in distance||JSC scan
20979|137|repaired LRV fender||JSC scan
20981|137|drive tube at Station 3 / LRV tracks||JSC scan
20982|137|drive tube at Station 3 / LRV tracks||JSC scan
20984|137|orange soil at Station 4||JSC scan
20985|137|orange soil at Station 4||JSC scan
20986|137|orange soil at Station 4||JSC scan
20990|137|orange soil discovered at rim of Shorty Crater||JSC scan
20991|137|Sta 4 / pan frame||JSC scan
20992|137|Station 4 pan frame - East wall and bottom of Shorty Crater||JSC scan
20993|137|Sta 4 / pan frame||JSC scan
20994|137|Station 4 pan frame - North wall and bottom of Shorty. Hanover Crater||JSC scan
20995|137|Sta 4 / pan frame||JSC scan
20996|137|Station 4 pan frame - West and south walls of Shorty||JSC scan
20997|137|Sta 4 / pan frame||JSC scan
20998|137|Sta 4 / pan frame||JSC scan
20999|137|Sta 4 / pan frame||JSC scan
21000|137|Sta 4 / pan frame||JSC scan
21001|137|Sta 4 / pan frame||JSC scan
21002|137|Sta 4 / pan frame||JSC scan
21003|137|Sta 4 / pan frame||JSC scan
21004|137|Sta 4 / pan frame||JSC scan
21005|137|Sta 4 / pan frame||JSC scan
21006|137|Sta 4 / pan frame||JSC scan
21007|137|Sta 4 / pan frame||JSC scan
21008|137|Sta 4 / pan frame||JSC scan
21009|137|Schmitt and LRV at Shorty crater (Station 4)||JSC scan
21010|137|Sta 4 / pan / LRV / LMP||JSC scan
21011|137|Schmitt and LRV at Shorty crater (Station 4)||JSC scan
21012|137|Sta 4 / pan / LRV / LMP||JSC scan
21013|137|Sta 4 / pan frame||JSC scan
21014|137|Sta 4 / pan frame||JSC scan
21015|137|Sta 4 / pan frame||JSC scan
21016|137|Sta 4 / pan frame||JSC scan
21017|137|Sta 4 / pan frame||JSC scan
21018|137|Sta 4 / pan frame||JSC scan
21019|137|Sta 4 / pan frame||JSC scan
21020|137|Sta 4 / pan frame||JSC scan
21021|137|Sta 4 / pan frame||JSC scan
21022|137|Sta 4 / pan frame||JSC scan
21023|137|Sta 4 / pan frame||JSC scan
21024|137|Sta 4 / pan frame||JSC scan
21025|137|(description not yet available)||JSC scan
21026|137|(description not yet available)||JSC scan
21027|137|(description not yet available)||JSC scan
21039|138|Lunar Rover parked at Station 2||JSC scan
21048|138|(description not yet available)||JSC scan
21068|138|(description not yet available)||JSC scan
21069|138|Station 2 pan frame / Cernan||JSC scan
21072|138|(description not yet available)||JSC scan
21078|138|(description not yet available)||JSC scan
21087|138|LRV traverse / Station 2 to 2A / LRV pan||JSC scan
21088|138|LRV traverse / Station 2 to 2A / LRV pan||JSC scan
21089|138|LRV traverse / Station 2 to 2A / LRV pan||JSC scan
21096|138|Sample 3130 at Station 2A||JSC scan
21097|138|Station 2A / sample 3130||JSC scan
21150|138|(description not yet available)||JSC scan
21151|138|Sta 3 / pan||JSC scan
21152|138|Sta 3 / pan||JSC scan
21153|138|(description not yet available)||JSC scan
21154|138|Sta 3 / pan||JSC scan
21155|138|Sta 3 / pan||JSC scan
21156|138|Sta 3 / pan||JSC scan
21157|138|Sta 3 / pan||JSC scan
21158|138|Sta 3 / pan||JSC scan
21159|138|Sta 3 / pan||JSC scan
21160|138|Station 3 / scoop and sample bag||JSC scan
21161|138|Sta 3 / pan / scoop / sample bag||JSC scan
21162|138|(description not yet available)||JSC scan
21163|138|(description not yet available)||JSC scan
21164|138|(description not yet available)||JSC scan
21165|138|(description not yet available)||JSC scan
21166|138|Sta 3 / pan / LRV||JSC scan
21167|138|Sta 3 / pan / LRV||JSC scan
21168|138|Sta 3 / pan / LRV||JSC scan
21169|138|Sta 3 / pan / LRV||JSC scan
21170|138|Station 3 / pan - East Massif, South Massif. Crater south of the Rover||JSC scan
21171|138|Station 3 / pan||JSC scan
21172|138|Station 3 / pan||JSC scan
21173|138|Station 3 / pan||JSC scan
21174|138|Station 3 / pan||JSC scan
21175|138|Station 3 / pan||JSC scan
21176|138|Station 3 / pan||JSC scan
21177|138|Station 3 / pan||JSC scan
21201|139|Station 6 / looking toward station 2 (500mm)||JSC scan
21203|139|telephoto view from Station 6 featuring LM in distance||JSC scan
21204|139|telephoto view from Station 6 featuring LM in distance||JSC scan
21255|139|500mm picture of the dark boulder and its track on the flank of the North Massif, taken from Station 9||JSC scan
21353|140|view from LM window of LRV and flag||JSC scan
21354|140|view from LM window of LRV and flag|13-Dec-72|JSC scan
21367|140|(description not yet available)||JSC scan
21368|140|Gene Cernan at the Rover prior to EVA-3 geology traverse||JSC scan
21370|140|view of lunar module (pan frame)||JSC scan
21374|140|Station LM / pan frame - footprints - East Massif in b.g.||JSC scan
21385|140|Schmitt stands behind Lunar Rover at start of EVA-3||JSC scan
21386|140|Schmitt stands behind Lunar Rover at start of EVA-3||JSC scan
21387|140|Schmitt stands behind Lunar Rover at start of EVA-3||JSC scan
21388|140|Cernan stands behind Lunar Rover at start of EVA-3||JSC scan
21389|140|Cernan stands behind Lunar Rover at start of EVA-3||JSC scan
21390|140|Cernan beside LRV at start of EVA-3||JSC scan
21391|140|Cernan beside LRV at start of EVA-3||JSC scan
21397|140|view of large boulder from LRV during traverse||JSC scan
21409|140|LRV on incline at Station 6||JSC scan
21412|140|LRV on incline at Station 6||JSC scan
21436|140|Station 6 / boulder & sample 6315||JSC scan
21438|140|Station 6 / boulder & sample 6315||JSC scan
21493|140|Tracy's Rock and Henry Crater||JSC scan
21495|140|Tracy's Rock and LRV||JSC scan
21496|140|Schmitt below Tracy's Rock||JSC scan
21502|140|Station 6 pan frame - view of Sculptured Hills||JSC scan
21503|140|Station 6 pan frame||JSC scan
21504|140|Station 6 pan frame||JSC scan
21505|140|Station 6 pan frame||JSC scan
21510|141|SEP transmitter from the rear||JSC scan
