2012epsc.conf..778W|2012|The Lunar Core Dynamo|Weiss, B. P., Suavet, C., Tikoo, S. M., Shuster, D. L., Grove, T. L., Gattacceca, J., Fuller, M. D.|European Planetary Science Congress 2012|||EPSC2012-778|By the end of the Apollo era, paleomagnetic studies had established that lunar rocks carry a remanent magnetization that was acquired on the Moon. However, it was unclear whether this magnetization was produced by a core dynamo field or by plasmas generated by meteoroid impacts. We have been reexamining the paleomagnetism of lunar rocks with the goal of establishing the origin of the magnetizing field and its temporal history. Our recent analyses of troctolite 76535 and mare basalts 10020, 10017, and 10049 have now confirmed that a lunar core dynamo existed with a surface intensity of ~60-70 μT from at least 4.2 to 3.6 billion years (Ga) ago. Furthermore, our analyses of mare basalts 12022 and 15597 have identified no stable magnetization, indicating that the dynamo field had declined to weak (&lt;7 μT) or null intensities by 3.3 Ga. The protracted lifetime of the lunar dynamo may require an unusual power source like mechanical stirring. Furthermore, the strong inferred intensities present a challenge to current dynamo theory.|
2012E&PSL.337...93T|2012|Magnetic fidelity of lunar samples and implications for an ancient core dynamo|Tikoo, Sonia M., Weiss, Benjamin P., Buz, Jennifer, Lima, Eduardo A., Shea, Erin K., Melo, Gabriela, Grove, Timothy L.|Earth and Planetary Science Letters|337||93|Some lunar rocks have stable magnetizations that provide compelling evidence for an ancient lunar core dynamo. However, a longstanding problem has been interpreting the unstable alternating field (AF) demagnetization behavior observed in the remaining majority of the Apollo lunar sample suite. Similar unstable behavior has also been observed for many meteorites. It is unclear whether the behavior of these samples indicates that they formed in the absence of an ancient magnetizing field or whether they simply have poor magnetic recording properties. It is necessary to distinguish between these two possibilities in order to determine whether paleomagnetic fields were present on a sample's parent body. To address this issue, we analyzed five samples whose rock magnetic properties span the full suite of observed demagnetization behaviors: mare basalts 15556, 15016, 12017, 10020, and troctolite 76535. We demonstrate that the effects of spurious anhysteretic remanent magnetization (ARM) during AF demagnetization, in combination with multidomain magnetic carriers and magnetic remanence anisotropy, are likely responsible for the apparently poor magnetic behavior of many lunar samples. Therefore, the unstable AF demagnetization behavior observed for many lunar samples is not alone sufficient for ruling out the presence of an ancient lunar core dynamo. Nevertheless, spurious ARM may explain the observation of surprisingly high (≥1 μT) Apollo-era paleointensity measurements for samples thought to have formed after the cessation of a lunar core dynamo (&lt;1.5 Ga).|http://dx.doi.org/10.1016/j.epsl.2012.05.024
2012AGUFM.P34B..01W|2012|The Lunar Core Dynamo|Weiss, B. P., Suavet, C. R., Tikoo, S. M., Shuster, D. L., Gattacceca, J., Fuller, M.|AGU Fall Meeting Abstracts|2012||P34B-01|By the end of the Apollo era, paleomagnetic studies had established that lunar rocks carry a remanent magnetization that was acquired on the Moon. However, it was unclear whether this magnetization was produced by a core dynamo field or by plasmas generated by meteoroid impacts. We have been reexamining the paleomagnetism of lunar rocks with the goal of establishing the origin of the magnetizing field and its temporal history. Our recent analyses of troctolite 76535 and mare basalts 10020, 10017, and 10049 have now confirmed that a lunar core dynamo existed with a surface intensity of ~60-70 μT from at least 4.2 to 3.6 billion years (Ga) ago. Furthermore, our analyses of mare basalts 12022 and 15597 have identified no stable magnetization, indicating that the dynamo field had declined to weak (&lt;7 μT) or null intensities by 3.3 Ga. The protracted lifetime of the lunar dynamo may require an unusual power source like mechanical stirring. Furthermore, the strong inferred intensities present a challenge to current dynamo theory.|
2012AGUFM.P43B1930H|2012|Water in a young Moon constrained from ferroan anorthosites|Hui, H., Peslier, A. H., Zhang, Y., Neal, C. R.|AGU Fall Meeting Abstracts|2012||P43B-1930|One of the most important conclusions resulting from the Apollo and Luna missions was the lack of water detected in the returned samples or at the surface of the Moon. This notion has been included in most geophysical and geochemical models of lunar formation and evolution. The view of an anhydrous lunar interior, however, has been challenged by the recent discoveries of hydrogen in picritic glass beads, apatites and olivine melt inclusions that were facilitated by the improvements of analytical detection limit of hydrogen. Indigenous water is now considered to be heterogeneously distributed in the lunar interior, some parts containing as much water as Earth's upper mantle. Hydrogen isotopic compositions of apatites in mare basalts have been used to identify the source of this water, with results indicating a combination of indigenous lunar water, water from comets, and solar wind protons. However, magma ocean crystallization modeling suggests that the water contents estimated for the lunar mantle from mare basalts may be overestimated. We present here measurements of water in the primary products of the lunar magma ocean (LMO) in order to potentially bypass the processes of later addition of water through impact event and/or solar wind implantation, and to estimate the water content of the Moon's interior at the time of the magma ocean crystallization, and that of the mare basalt source regions. Ferroan anorthosite is the only available lithology that is believed to be a primary product of the LMO. It is generally understood that plagioclase, after crystallization, floated in the LMO and formed ferroan anorthosite as the original permanent crust of the Moon. Therefore, any indigenous water preserved in pristine ferroan anorthosite was partitioned from the LMO. Using Fourier transform infrared spectroscopy, we have measured ~6 ppm of indigenous water as hydroxyl species in plagioclases from ferroan anorthosite 15415 and 60015. As plagioclase becomes a liquidus phase after 80% LMO crystallization, we calculated the initial water content of the latter to have been ~320 ppm H2O. Water accumulated in the final 2 vol.% LMO residuum as crystallization proceeded could reach amounts of ~1.4 wt.%. We therefore show that water has been present in the lunar interior since its earliest history, during LMO formation and crystallization. This water can affect magma ocean crystallization dynamics and the following mantle cumulate overturn process, and hence the genesis of the mare basalts. Furthermore, the amount of water calculated for the LMO is sufficient to explain those detected in lunar mare basalts, which are thought to be derived from more recently remelted magma ocean cumulates. Finally, ~6 ppm of indigenous water measured in ferroan anorthosite together with up to ~2.7 ppm that we have detected in plagioclase of troctolite 76535 may contribute a significant portion to the trace amount of water/hydroxyl recently detected on the surface of the lunar highland crust by spacecraft.|
2011AGUFMGP11B..04S|2011|Paleomagnetic record of mare basalt 10017: A lunar core dynamo at 3.6 Ga?|Suavet, C., Weiss, B. P., Fuller, M., Gattacceca, J., Grove, T. L., Shuster, D. L.|AGU Fall Meeting Abstracts|2011||GP11B-04|Following the Apollo missions, twenty years of paleomagnetic studies of returned samples have failed to demonstrate unambiguously the existence of an ancient lunar core dynamo. As a result of new technologies, more robust analytical methods, and a better understanding of rock magnetism, it is now possible to revisit lunar paleomagnetism. A set of criteria that must be met in order to demonstrate that a sample has recorded a core dynamo field has been defined: the samples must not show petrologic evidence of shock, the magnetization must be a stable thermoremanent magnetization (TRM), mutually oriented subsamples should agree in direction and intensity, and the thermal history should be well constrained, with a cooling timescale longer than the lifetime of impact generated fields (&gt;1h). A critical review of the literature has allowed us to identify Apollo samples that are most likely to provide good records of ancient lunar magnetic fields. The first samples to be studied within this framework were troctolite 76535 (Garrick-Bethell et al., 2009) and mare basalt 10020 (Shea et al., 2010), which have recorded a core dynamo field at 4.2 and 3.7 Ga, respectively. Mare basalt 10017 is a fine grained, vesicular, high-K ilmenite basalt with a crystallization age of 3.6 Ga. It was studied by different groups (Fuller and Meshkov, 1979; Hoffman et al., 1979; Runcorn et al., 1970; Stephenson et al., 1977), all of whom noted the stability of its magnetization. We have measured 7 subsamples of chip 10017,378. Their magnetizations agree in direction, with a low coercivity overprint removed by 10 mT AF demagnetization, and a stable high coercivity component consistent with a TRM. Paleointensity estimations give a conservative minimum of 12 μT for the paleofield. This sample is ~100 Myr younger than the end of the late heavy bombardment, which rules out basin-forming impacts as a possible candidate to explain its magnetization. It extends the lifetime of the putative ancient lunar core dynamo well after thermal convection of the liquid core could have sustained an Earth-like lunar dynamo, thereby supporting non-standard dynamo scenarios such as a mechanical-stirring driven dynamo that could have been triggered by lunar librations from Earth tides or by impacts.|
2010AGUFMDI33B..08S|2010|A lunar core dynamo at 3.7 Ga?|Shea, E. K., Weiss, B. P., Tikoo, S. M., Gattacceca, J., Shuster, D. L., Grove, T. L., Fuller, M.|AGU Fall Meeting Abstracts|2010||DI33B-08|The discovery of remnant magnetization in returned Apollo samples and the lunar crust has long suggested that the Moon has a metallic core and once had a core-dynamo magnetic field (Fuller and Cisowski, 1987). However, the association of magnetization with the antipodes of impact basins suggests that meteoroid impacts may also be the source of lunar magnetization (e.g., Hood and Artemieva, 2008). Distinguishing between these two hypotheses is difficult as most lunar samples are poor recorders of paleomagnetic fields (Fuller and Cisowski, 1987; Tikoo et al., 2010). Since impact-generated shock waves can remagnetize low-coercivity (&lt;~30 mT) grains, samples must have high coercivities and show no petrographic evidence for shock (Gattacceca et al., 2009). Recent paleomagnetic analyses of one lunar sample, troctolite 76535, observed a stable NRM blocked up to &gt;200 mT (Garrick-Bethell et al., 2009). The slow cooling timescale of this rock (millions of years) relative the lifetime of impact-produced fields (&lt;1 day maximum) suggests that the moon had a core dynamo at 4.2 Ga. We present a new paleomagnetic study of another high coercivity, unshocked lunar rock, mare basalt 10020. This sample records evidence for lunar magnetism 500 Ma after troctolite 76535. Our results suggest it too has a stable NRM acquired over timescales that are long relative to impact-produced fields. 10020 is a fine-grained, vesicular, ilmenite basalt with a 40Ar/39Ar age of 3.72 ±0.04 Ga that is within error of Rb/Sr crystallization ages of similar composition Apollo 11 basalts (Geiss et al., 1977, Guggisberg et al., 1979). Collinson et al. (1972) and Stephenson et al. 1977 found that a 10020 has one of the most stable NRMs of any studied lunar sample (blocked up to &gt;65 mT). We have now found that two mutually oriented samples of 10020 have a stable (&gt; 65-80 mT) origin-trending unidirectional NRM component. Petrographic analyses of this sample find no evidence for shock such as alteration to maskelynite or fracturing. Pressure remanent experiments on 10020 show that the magnetism could not have been produced by an impact. We therefore suggest that the magnetization recorded in 10020 was generated by a core dynamo. We are currently conducting Ar/Ar dating and further magnetic analyses to further test this hypothesis.|
2010AGUFMGP43B1049T|2010|Fidelity of Mare Basalts as Magnetic Recorders and Implications for Lunar Paleomagnetism|Tikoo, S. M., Weiss, B. P., Buz, J., Silva, M. G., Grove, T. L., Gattacceca, J.|AGU Fall Meeting Abstracts|2010||GP43B-1049|Forty years after the Apollo program, the source of the magnetization observed in the lunar crust and in returned samples remains unresolved. The two leading explanations for lunar remanent magnetism are transient magnetic fields created by impact events and the existence of an ancient lunar core dynamo. In order for a lunar sample to present strong evidence that it acquired its primary remanent magnetism from an ancient lunar dynamo, several criteria should be met. First, the sample should not bear any petrologic evidence of shock, implying a peak pressure of ≤ 5 GPa. Then, during demagnetization experiments, the natural remanent magnetization (NRM) ideally should converge to a stable direction, with intensity decreasing towards the origin. The magnitude and direction of primary magnetic remanence should also agree across mutually oriented subsamples. Finally, the initial cooling timescale for the sample should be ≥ ~1 hour in order to effectively rule out impact events as magnetizing field sources. Recent studies on lunar troctolite 76535 (Garrick-Bethell et al. 2009) and ilmenite basalt 10020 (Shea et al. 2010) have demonstrated that these samples meet all of the aforementioned criteria and support the possibility that an ancient lunar dynamo existed at 4.2 Ga and 3.7 Ga, respectively. However, the stable magnetic behaviors observed in 76535 and 10020 appear to represent exceptions rather than the rule when compared to the rest of returned lunar samples. The vast majority of lunar samples subjected to paleomagnetic studies display chaotic NRM behavior, evidenced by non-monotonic decline of magnetic moment and unstable directions of magnetization when undergoing demagnetization experiments (see Brecher, 1976). Before a lunar dynamo can be a fully accepted, it is vital to demonstrate that the poor magnetic behaviors evident in the rest of the lunar sample collection do not indicate the absence of a magnetic field. Here we present results of a study which investigates the alternating field (AF) demagnetization behavior and magnetic recording capacities of mare basalts 15556, 12017 and 15016. All of these samples appear to be unshocked (peak pressures ≤ 5 GPa) and have cooling timescales longer than the expected duration of impact fields. Our results reveal that these three samples display unstable AF demagnetization behavior. The samples also appear to be imprecise paleointensity recorders of fields with intensities under ~ 30 μT (near the lower bound of the Earth’s present field strength), at least when measured using AF demagnetization. Based on these findings, we posit that many lunar samples are intrinsically unable to preserve robust paleointensity records of magnetic fields when analyzed using AF methods. Therefore, their chaotic demagnetization behavior does not rule out the existence of an ancient lunar dynamo.|
2010AGUFMGP42A..04F|2010|Lunar Paleomagnetism: The Case for an Ancient Lunar Dynamo. (Invited)|Fuller, M., Weiss, B. P., Gattacceca, J.|AGU Fall Meeting Abstracts|2010||GP42A-04|The failure of lunar samples to satisfy minimal criteria for classical paleointensity determinations has led to skepticism of the case for an ancient lunar dynamo. There are however practical and fundamental reasons why such experiments are doomed to failure in most lunar samples. In such methods, NRMs in successive blocking temperatures ranges are thermally demagnetized and replaced with partial thermoremanent magnetization (pTRMs) given in a known field (Thellier, 1938). A practical difficulty is that it is hard to heat lunar samples without altering them. A fundamental problem is that whereas pottery, for which these methods were designed, carries a primary (TRM) from its initial cooling and little secondary magnetization, lunar samples are likely to carry weak field isothermal remanent magnetization (IRM) and shock remanent magnetization (SRM) as secondary overprints. Thermal demagnetization does not isolate weak field IRM well. For example, on thermal demagnetization of the Apollo sample 14053.48 carrying a 2000nT TRM with a superposed 5mT IRM, the IRM persists to the Curie point obscuring the TRM. Fortunately, weak field IRM is removed by AF demagnetization to fields comparable to that in which it is acquired. Furthermore, Gattacceca et al. (2008) demonstrated that experimentally generated SRM from several GPa, like weak field IRM, is demagnetized by AF fields of between ~20 and 30 mT, leaving the pre-shock remanent magnetization essentially untouched. This agrees with our theoretical understanding of SRM, which at pressures below approximately the Hugoniot elastic limit (several GPa for most rocks) should essentially be a pressure remanent magnetization (e.g., Dunlop and Ozdemir, 1997). Unlike IRM, SRM in the range of a few GPa may carry recoverable lunar field records (Gattacceca et al., 2008). NRM in samples shocked to less than ~5 GPa, which is stable against AF demagnetization beyond the fields necessary to eliminate weak SRM (~20-30 mT), requires some other explanation. Such NRM carried by the small amount of single domain iron and iron nickel present in the samples can be very stable. The troctolite 76535 is an example of such a sample. It cooled over thousands of years, or longer, which is far too long for any possible transient fields associated with impacts and must carry a TRM like NRM. Note that despite predictions that even km sized craters may generate fields up to 0.1T at 1 crater radius, no unambiguous evidence for paleomagnetic recording of such fields over individual craters has materialized. There are numerous other candidate samples having experienced &lt;~5 GPa carrying stable NRM, which have been analyzed, or are being presently investigated. The only other obvious source of a field to explain stable TRM in lunar rocks is that of surface lunar fields, but over the mare these are too weak to account for the NRM of mare basalts. In summary, recent advances in our understanding of SRM and reanalysis of lunar paleomagnetism lead us to conclude that lunar paleomagnetism is most easily explained by a lunar dynamo.|
2008PEPI..168...71L|2008|Lunar paleointensity measurements: Implications for lunar magnetic evolution|Lawrence, Kristin, Johnson, Catherine, Tauxe, Lisa, Gee, Jeff|Physics of the Earth and Planetary Interiors|168|1-2|71|We analyze published and new paleointensity data from Apollo samples to reexamine the hypothesis of an early (3.9-3.6 Ga) lunar dynamo. Our new paleointensity experiments on four samples use modern absolute and relative measurement techniques, with ages ranging from 3.3 to 4.3 Ga, bracketing the putative period of an ancient lunar field. Samples 60015 (anorthosite) and 76535 (troctolite) failed during absolute paleointensity experiments. Samples 72215 and 62235 (impact breccias) recorded a complicated, multi-component magnetic history that includes a low-temperature (&lt;500 °C) component associated with a high intensity (∼90 μT) and a high temperature (&gt;500 °C) component associated with a low intensity (∼2 μT). Similar multi-component behavior has been observed in several published absolute intensity experiments on lunar samples. Additional material from 72215 and 62235 was subjected to a relative paleointensity experiment (a saturation isothermal remanent magnetization, or sIRM, experiment); neither sample provided unambiguous evidence for a thermal origin of the recorded remanent magnetization. We test several magnetization scenarios in an attempt to explain the complex magnetization recorded in lunar samples. Specifically, an overprint from exposure to a small magnetic field (an isothermal remanent magnetization) results in multi-component behavior (similar to absolute paleointensity results) from which we could not recover the correct magnitude of the original thermal remanent magnetization. In light of these new experiments and a thorough re-evaluation of existing paleointensity measurements, we conclude that although some samples with ages of 3.6 to 3.9 Ga are strongly magnetized, and sometimes exhibit stable directional behavior, it has not been demonstrated that these observations indicate a primary thermal remanence. Particularly problematic in the interpretation of lunar sample magnetizations are the effects of shock. As relative paleointensity measurements for lunar samples are calibrated using absolute paleointensities, the lack of acceptable absolute paleointensity measurements renders the interpretation of relative paleointensity measurements unreliable. Consequently, current paleointensity measurements do not support the existence of a 3.9-3.6 Ga lunar dynamo with 100 μT surface fields, a result that is in better agreement with satellite measurements of crustal magnetism and that presents fewer challenges for thermal evolution and dynamo models.|http://dx.doi.org/10.1016/j.pepi.2008.05.007
2007AGUFM.P43C..03L|2007|New Lunar Paleointensity Measurements, Ancient Lunar Dynamo or Lunar Dud?|Lawrence, K. P., Johnson, C. L., Tauxe, L., Gee, J. S.|AGU Fall Meeting Abstracts|2007||P43C-03|We analyze published and new paleointensity data from Apollo samples to reexamine the hypothesis of an early (3.9 to 3.6 Ga) lunar dynamo. Our new paleointensity experiments on four Apollo samples use modern absolute and relative measurement techniques. Our samples (60015, 76535, 72215, 62235) have ages ranging from 3.3 to 4.2 Ga, bracketing the putative period of a lunar dynamo. Samples 60015 (anorthosite) and 76535 (troctolite) failed during absolute paleointensity experiments, using the IZZI-modified Thellier-Thellier method. Samples 72215 and 62235 recorded a complicated, multi-component magnetic history that includes a low temperature (&lt; 500°C) component with a high intensity (~90 μT), and a high temperature (&gt; 500°C) component with a low intensity (~2 μT). These two samples were also subjected to a relative paleointensity experiment (sIRM), from which neither provided unambiguous evidence for a thermal origin of the recorded remanent magnetization. We found similar multi-component behavior in several published experiments on lunar samples. We test and present several magnetization scenarios in an attempt to explain the complex magnetization recorded in lunar samples. Specifically, an overprint from exposure to a small magnetic field (i.e. IRM) results in multi-component behavior (similar to lunar sample results), from which we could not recover the correct magnitude of the original TRM. The non-unique interpretation of these multi-component results combined with IRM (isothermal remanent magnetization) contamination during Apollo sample return ( Strangway et al., 1973), indicates that techniques incapable of distinguishing between single- and multi-component records (e.g., sIRM), cannot be reliably used to infer magnetic conditions of the early Moon. In light of these new experiments and a thorough reevaluation of existing paleointensity measurements, we conclude that there is a paucity of lunar samples that demonstrate a primary thermal remanent magnetization. As relative paleointensity measurements for lunar samples are calibrated using absolute paleointensities, the lack of acceptable absolute paleointensity measurements renders the interpretation of relative paleointensity measurements unreliable. Consequently, current lunar paleointensity measurements are inadequate to determine the existence and strength of an early lunar magnetic field. Surface magnetometry measurements and the return of magnetically uncontaminated samples from future missions are much needed for further progress in understanding the characteristics and origin of lunar crustal remanent magnetization.|
1992ga17.conf...48R|1992|The Apollo 17 Samples: The Massifs and Landslide|Ryder, Graham|Geology of the Apollo 17 Landing Site|||48|More than 50 kg of rock and regolith samples, a little less than half the total Apollo 17 sample mass, was collected from the highland stations at Taurus-Littrow. Twice as much material was collected from the North Massif as from the South Massif and its landslide (the apparent disproportionate collecting at the mare sites is mainly a reflection of the large size of a few individual basalt samples). Descriptions of the collection, documentation, and nature of the samples are given. A comprehensive catalog is currently being produced. Many of the samples have been intensely studied over the last 20 years and some of the rocks have become very familiar and depicted in popular works, particularly the dunite clast (72415), the troctolite sample (76535), and the station 6 boulder samples. Most of the boulder samples have been studied in Consortium mode, and many of the rake samples have received a basic petrological/geochemical characterization.|
1986LPSC...17...91S|1986|Crystal Structure Refinement of a Lunar Anorthite, AN94|Smyth, J. R.|Lunar and Planetary Science Conference Proceedings|91||91|ABSTRACT_PLACEHOLDER|
1985LPI....16..833S|1985|Excess Fission Xenon and I-Pu Dating|Swindle, T. D., Caffee, M. W., Hohenberg, C. M.|Lunar and Planetary Science Conference|||833|ABSTRACT_PLACEHOLDER|
1984LPI....15..591N|1984|Lunar Highland Pristine Rocks: Interelement Relationships|Nazarov, M. A.|Lunar and Planetary Science Conference|||591|ABSTRACT_PLACEHOLDER|
1984LPI....15..709R|1984|Olivine in Lunar Dunite 72415, a Rather Shallow-Origin Cumulate|Ryder, G.|Lunar and Planetary Science Conference|||709|ABSTRACT_PLACEHOLDER|
1983LPSC...13..887L|1983|A Two-Pyroxene Thermometer|Lindsley, D. H., Andersen, D. J.|Lunar and Planetary Science Conference Proceedings|88||887|Experimentally determined pyroxene phase relations at 800°-1200°C are combined with calculated phase equilibria for the Di-En and Hd-Fs joins to produce a graphical two-pyroxene thermometer that should be applicable to a wide variety of rocks from the earth, moon, and meteorites. The thermometer can be used directly with natural pyroxenes that have low contents of Al and other minor components. Samples with higher contents of ‘others’ components require special projection onto the Ca-Mg-Fe pyroxene quadrilateral; Wo, En, and Fs as normally calculated will not yield correct temperatures! The special projection is necessary to approximate the activities of those components in natural pyroxenes. The effects of pressure are nonnegligible but can be corrected for. Use of the thermometer for slowly-cooled rocks may pose special problems if the pyroxenes have undergone granule exsolution (coalescence of exsolved material to form separate grains). For example, published analyses of Mg-rich augites from the Skaergaard intrusion give temperatures that are 50°-100°C below expected magmatic values. Textural and experimental evidence confirms that these augites have undergone granule exsolution. The primary pyroxene compositions must be reconstructed from textural evidence before correct igneous or peak-metamorphic temperatures can be obtained from this or any two-pyroxene thermometer. Of the numerous two-pyroxene thermometers proposed in the literature, those of Ross and Huebner [1975] and of Kretz [1982] Ca-reaction] yield temperatures most similar to our own, although the former tends to give temperatures about 50°C lower for some igneous pyroxenes. Other thermometers generally overestimate temperatures for metamorphic rocks (hornblende granulite facies) by 50°-100°C.|http://dx.doi.org/10.1029/JB088iS02p0A887
1982LPSC...12..371S|1982|The lunar regolith: comparative studies of the Apollo and Luna sites. Petrology of soils from Apollo 17, Luna 16, 20, and 24.|Simon, S. B., Papike, J. J., Laul, J. C.|Lunar and Planetary Science Conference Proceedings|12||371|A progress report is presented concerning an investigation involving a comprehensive chemical and petrologic study of surface soils from all nine lunar sampling sites. The soils selected for this study are part of the lunar highlands soils suite and represent the soils at each site that contain abundant highland-derived material. The current report takes into consideration, in addition to the eight soils discussed by Labotka et al. (1980) and by Laul and Papike (1980), three Apollo 17 soils (72501, 76501, and 78221), and three Luna soils (21000, L-16; 22001, L-20; and 24999, L-24). Attention is given to the modal petrology of the 1000-90 micrometer fraction of all 14 soils, and the modes and mineral and glass chemistries of the 90-20 and 20-10 micrometer fractions of the Apollo 17 and Luna soils. In an evaluation of the obtained results, it is found that except for rare, large-scale impacts, lateral mixing is an inefficient process. Comminution and vertical mixing appear to be the dominant process.|
1982LPI....13..360J|1982|Subdivision of the Mg-Suite Plutonic Rocks Into Mg-Norites and Mg-Gabbronorites|James, O. B.|Lunar and Planetary Science Conference|||360|ABSTRACT_PLACEHOLDER|
1982LPI....13..371J|1982|Pu-Nd Dating: Progress Towards a "solar System" Pu/nd Ratio|Jost, D. T., Marti, K.|Lunar and Planetary Science Conference|||371|ABSTRACT_PLACEHOLDER|
1981LPI....12..640M|1981|Chemical and Petrographic Study of Spinel Troctolite in 67435: Implications for the Origin of Mg-Rich Plutonic Rocks|Ma, M. -S., Schmitt, R. A., Taylor, G. J., Warner, R. D., Keil, K.|Lunar and Planetary Science Conference|||640|ABSTRACT_PLACEHOLDER|
1980LPSC...11..591W|1980|Significance of major and minor element variations in plagioclase in sodic ferrogabbro and breccia matrix in lunar highlands sample 67915.|Weiblen, P. W., Day, W. C., Miller, J. D., Jr.|Lunar and Planetary Science Conference Proceedings|1||591|Attention is given to the significance of the results of a study of Ca, K, Ti, Fe, Mn, and Mg variations in plagioclase in highlands sample 67915,84. This polymict breccia from Outhouse Rock station 11 at the Apollo 16 site has been selected for study because it contains a wide variety of clast types, including a differentiated type-sodic ferrogabbro. It is found that the data on Ca, K, Ti, Fe, Mn, and Mg in plagioclase show no evidence of reaction between sodic ferrogabbro and breccia matrix clasts. Two groups of plagioclase compositions have been recognized in the breccia matrix. The data suggest that the prebreccia characteristics of plagioclase compositions have been preserved in 67915. Data on Mg/(Mg+FE) ratios suggest that the sodic ferrogabbro and the intermediate-Ca plagioclase clasts could be related to the Mg-rich plutonic rock suite and the high-Ca plagioclase clasts to the ferroan anorthosites.|
1980LPSC...11..365J|1980|Rocks of the early lunar crust.|James, O. B.|Lunar and Planetary Science Conference Proceedings|1||365|Data are summarized which suggest a model for the early evolution of the lunar crust. According to the model, during the final stages of accretion, the outer part of the moon melted to form a magma ocean approximately 300 km deep. This ocean fractionated to form mafic and ultramafic cumulates at depth and an overlying anorthositic crust made up of ferroan anorthosites. Subsequent partial melting in the primitive mantle underlying the crystallized magma ocean produced melts which segregated, moved upward, intruded the primordial crust, and crystallized to form layered plutons consisting of Mg-rich plutonic rocks. Intense impact bombardment at the lunar surface mixed and melted the rocks of the two suites to form a thick layer of granulated debris, granulitic breccias, and impact-melt rocks.|
1980luhc.conf..419H|1980|Fission xenon in troctolite 76535.|Hohenberg, C. M., Hudson, B., Kennedy, B. M., Podosek, F. A.|Lunar Highlands Crust|||419|Xenon released in stepwise heating of troctolite 76535 shows remarkable similarity to that from the gas-rich breccias. The low temperature fractions are highly enriched in fissiogenic xenon from Pu-244. Although the quantity of fission xenon is not inconsistent with reported age data, release patterns demonstrate that this component is not due to in situ decay. However, in contrast with the gas-rich breccias, the parentless radionuclear component in 76535 is not accompanied by solar wind xenon. Mechanisms for the emplacement of this component in 76535 cannot, therefore, involve exposure on the lunar surface but most likely involve adsorption along intergranular boundaries or thermally driven redistribution. The fact that xenon released from a gas-poor igneous cumulate can mimic that from gas-rich breccias, except for the presence of solar wind xenon in the latter, suggests that direct exposure to space is not required for the incorporation of these weakly bound, surface-correlated, parentless radionuclear components in lunar samples.|
1979LPSC...10..531N|1979|A summary of the petrology and geochemistry of pristine highlands rocks.|Norman, M. D., Ryder, G.|Lunar and Planetary Science Conference Proceedings|1||531|The petrology and geochemistry of pristine lunar highlands rock samples consisting of ferroan anorthosites, norites, troctolites, spinel troctolites/dunite/lherzolite, and KREEP, are described. In addition, petrographic and chemical evidence is presented which shows that low-siderophile rocks are the result of endogenous igneous activity and not impact melt differentiation. For example, these rocks contain Fe-metal as a late-crystallizing phase, and have W/La ratios higher than polymict breccias.|
1979LPSC...10.1547R|1979|Noble gas based solar flare exposure history of lunar rocks and soils.|Rao, M. N., Venkatesan, T. R., Goswami, J. N., Nautiyal, C. M., Padia, J. T.|Lunar and Planetary Science Conference Proceedings|2||1547|Quantitative techniques are described for the first time for the isolation of the solar-cosmic-ray (SCR)-produced Ne and Ar components for the estimation of the SCR-exposure ages of lunar rocks. SCR and galactic cosmic ray (GCR) ages of 1.7 + or - 0.2 m.y. and 3.7 + or 0.3 m.y. respectively, have been determined for the Apollo 16 rock 61016 using these methods. A plausible model for the exposure history of this rock, consistent with the observed cosmogenic effects is presented. The noble gas methods employed earlier (Bhai et al., 1978) for the determination of the SCR and GCR ages of lunar soils are applied to the study of 'skim' soil 69921. The SCR and GCR ages for this soil, which is extremely mature as revealed by particle track studies, are about 73 m.y. and 216 m.y., respectively. Concordant results obtained from neon and argon systematics in the case of rock 51016, and neon and xenon systematics in the case of soil 69921 give credence to the analytical appraoch presented in this paper.|
1979LPSC...10..639S|1979|Terrestrial and lunar impact breccias and the classification of lunar highland rocks.|Stoeffler, D., Knoell, H. -D., Maerz, U.|Lunar and Planetary Science Conference Proceedings|1||639|The texture, geological setting, and petrogenesis of impact formations of terrestrial meteorite craters are examined and compared with the properties of lunar highland rocks. It is shown that the six types of individual textural units found in terrestrial impact formations are subunits of three structural groups of breccia formations which differ in their crater setting.|
1979LPSC...10..695A|1979|Olivine vitrophyres in Apollo 14 breccia 14321: samples of the high-Mg component of the lunar highlands.|Allen, F. M., Bence, A. E., Grove, T. L.|Lunar and Planetary Science Conference Proceedings|1||695|ABSTRACT_PLACEHOLDER|
1979LPSC...10.1437W|1979|Composition of glasses in Apollo 17 samples and their relation to known lunar rock types.|Warner, R. D., Taylor, G. J., Keil, K.|Lunar and Planetary Science Conference Proceedings|2||1437|ABSTRACT_PLACEHOLDER|
1979LPSC...10.2107W|1979|Lunar basalts and pristine highland rocks: comparison of siderophile and volatile elements.|Wolf, R., Woodrow, A., Anders, E.|Lunar and Planetary Science Conference Proceedings|2||2107|The objective of the present paper is to compare pristine highland rocks and low-Ti mare basalts on the basis of all 53 Chicago analyses of these to types of rock. Apart from being of interest in its own right, such a comparison provides a test of Delano and Ringwood's (1979) contention that 'abundances of Ge, Au, and other siderophile elements in pristine highland rocks are not consistent with magmatic differentiation'. The other topics reexamined in this paper are the correlation of siderophiles and volatiles in pristine rocks with Rb and Cs (likewise questioned by Delano and Ringwood), the relationship of 'non-mare' basalts (14053, 60639) to their mare counterparts, and the abundance of some incompatible elements in the lunar bulk.|
